Wavelength,Intensity
364.54181210327897,656
364.97293823223123,674
365.40405753246409,665
365.83516999828055,665
366.26627562398357,672
366.69737440387615,676
367.12846633226161,665
367.55955140344372,667
367.99062961172712,672
368.42170095141518,672
368.852765416813,690
369.28382300222535,664
369.71487370195695,672
370.14591751031389,677
370.57695442160144,667
371.00798443012582,673
371.43900753019284,675
371.87002371610936,667
372.30103298218205,688
372.73203532271816,675
373.16303073202516,664
373.59401920441036,689
374.025000734182,672
374.45597531564812,679
374.88694294311716,682
375.31790361089838,680
375.74885731330039,677
376.17980404463276,688
376.610743799205,675
377.04167657132712,681
377.47260235530973,674
377.90352114546289,669
378.33443293609719,696
378.76533772152425,672
379.19623549605541,657
379.62712625400189,686
380.05800998967612,678
380.48888669739011,675
380.91975637145651,675
381.35061900618791,672
381.78147459589792,688
382.21232313489952,672
382.64316461750622,675
383.07399903803275,683
383.50482639079257,675
383.93564667010088,670
384.36645987027214,679
384.79726598562195,683
385.22806501046523,680
385.65885693911804,684
386.0896417658962,681
386.52041948511646,683
386.95119009109527,691
387.38195357814942,675
387.81270994059611,679
388.24345917275315,683
388.67420126893796,675
389.10493622346888,664
389.53566403066429,675
389.966384684843,672
390.39709818032378,688
390.82780451142628,680
391.25850367246994,667
391.68919565777435,699
392.11988046165993,686
392.55055807844758,675
392.98122850245755,677
393.41189172801126,659
393.84254774942991,686
394.27319656103521,685
394.70383815714939,677
395.13447253209455,682
395.56509968019333,683
395.99571959576866,675
396.42633227314394,688
396.85693770664244,681
397.28753589058789,656
397.71812681930493,691
398.14871048711751,672
398.57928688835051,681
399.0098560173289,681
399.44041786837823,675
399.87097243582423,673
400.30151971399238,677
400.73205969720937,659
401.16259237980159,683
401.59311775609609,679
402.02363582041988,675
402.45414656710057,680
402.88464999046596,675
403.31514608484406,662
403.7456348445636,686
404.17611626395291,672
404.60659033734117,685
405.03705705905816,684
405.46751642343281,675
405.89796842479564,672
406.328413057477,672
406.75885031580708,674
407.1892801941172,680
407.61970268673826,679
408.05011778800196,675
408.48052549224025,683
408.91092579378488,683
409.341318686969,662
409.77170416612495,691
410.20208222558608,680
410.63245285968554,678
411.06281606275741,683
411.49317182913558,683
411.92352015315424,683
412.3538610291485,673
412.78419445145323,672
413.21452041440352,683
413.64483891233562,672
414.07514993958472,667
414.50545349048741,673
414.93574955938067,685
415.36603814060084,667
415.79631922848586,683
416.2265928173727,682
416.65685890159955,677
417.08711747550439,683
417.51736853342567,689
417.94761206970287,683
418.37784807867467,676
418.80807655468055,667
419.23829749206055,688
419.66851088515466,672
420.09871672830343,672
