Wavelength,Intensity
364.54181210327897,663
364.97293823223123,659
365.40405753246409,672
365.83516999828055,667
366.26627562398357,664
366.69737440387615,694
367.12846633226161,672
367.55955140344372,672
367.99062961172712,667
368.42170095141518,672
368.852765416813,681
369.28382300222535,672
369.71487370195695,672
370.14591751031389,688
370.57695442160144,675
371.00798443012582,659
371.43900753019284,677
371.87002371610936,673
372.30103298218205,672
372.73203532271816,678
373.16303073202516,675
373.59401920441036,686
374.025000734182,677
374.45597531564812,662
374.88694294311716,673
375.31790361089838,688
375.74885731330039,667
376.17980404463276,683
376.610743799205,679
377.04167657132712,679
377.47260235530973,681
377.90352114546289,673
378.33443293609719,680
378.76533772152425,688
379.19623549605541,683
379.62712625400189,672
380.05800998967612,691
380.48888669739011,665
380.91975637145651,675
381.35061900618791,689
381.78147459589792,664
382.21232313489952,696
382.64316461750622,673
383.07399903803275,677
383.50482639079257,681
383.93564667010088,681
384.36645987027214,675
384.79726598562195,696
385.22806501046523,682
385.65885693911804,675
386.0896417658962,688
386.52041948511646,680
386.95119009109527,681
387.38195357814942,685
387.81270994059611,667
388.24345917275315,697
388.67420126893796,675
389.10493622346888,667
389.53566403066429,690
389.966384684843,688
390.39709818032378,681
390.82780451142628,694
391.25850367246994,685
391.68919565777435,688
392.11988046165993,704
392.55055807844758,672
392.98122850245755,689
393.41189172801126,696
393.84254774942991,699
394.27319656103521,689
394.70383815714939,683
395.13447253209455,688
395.56509968019333,704
395.99571959576866,704
396.42633227314394,683
396.85693770664244,700
397.28753589058789,693
397.71812681930493,689
398.14871048711751,688
398.57928688835051,680
399.0098560173289,697
399.44041786837823,705
399.87097243582423,690
400.30151971399238,689
400.73205969720937,704
401.16259237980159,688
401.59311775609609,689
402.02363582041988,704
402.45414656710057,693
402.88464999046596,707
403.31514608484406,697
403.7456348445636,699
404.17611626395291,713
404.60659033734117,705
405.03705705905816,696
405.46751642343281,688
405.89796842479564,705
406.328413057477,698
406.75885031580708,707
407.1892801941172,691
407.61970268673826,726
408.05011778800196,704
408.48052549224025,698
408.91092579378488,711
409.341318686969,704
409.77170416612495,707
410.20208222558608,715
410.63245285968554,691
411.06281606275741,707
411.49317182913558,716
411.92352015315424,699
412.3538610291485,709
412.78419445145323,721
413.21452041440352,704
413.64483891233562,705
414.07514993958472,707
414.50545349048741,704
414.93574955938067,720
415.36603814060084,697
415.79631922848586,715
416.2265928173727,720
416.65685890159955,713
417.08711747550439,711
417.51736853342567,720
417.94761206970287,695
418.37784807867467,715
418.80807655468055,727
419.23829749206055,711
419.66851088515466,727
420.09871672830343,712
420.52891501584776,707
420.95910574212843,737
421.38928890148696,709
421.8194644882654,707
422.249632496806,723
422.6797929214506,713
423.109945756542,723
423.54009099642377,717
423.97022863543896,710
424.40035866793147,736
424.83048108824511,723
425.26059589072446,726
425.69070306971435,717
426.12080261955936,728
426.55089453460545,715
426.98097880919772,730
