Wavelength,Intensity
364.54181210327897,689
364.97293823223123,684
365.40405753246409,694
365.83516999828055,701
366.26627562398357,691
366.69737440387615,691
367.12846633226161,699
367.55955140344372,694
367.99062961172712,697
368.42170095141518,701
368.852765416813,691
369.28382300222535,688
369.71487370195695,704
370.14591751031389,705
370.57695442160144,704
371.00798443012582,720
371.43900753019284,701
371.87002371610936,704
372.30103298218205,705
372.73203532271816,699
373.16303073202516,705
373.59401920441036,720
374.025000734182,691
374.45597531564812,715
374.88694294311716,701
375.31790361089838,704
375.74885731330039,706
376.17980404463276,683
376.610743799205,694
377.04167657132712,715
377.47260235530973,704
377.90352114546289,705
378.33443293609719,697
378.76533772152425,705
379.19623549605541,696
379.62712625400189,713
380.05800998967612,699
380.48888669739011,712
380.91975637145651,715
381.35061900618791,707
381.78147459589792,715
382.21232313489952,701
382.64316461750622,707
383.07399903803275,715
383.50482639079257,707
383.93564667010088,704
384.36645987027214,704
384.79726598562195,697
385.22806501046523,712
385.65885693911804,715
386.0896417658962,716
386.52041948511646,701
386.95119009109527,730
387.38195357814942,695
387.81270994059611,728
388.24345917275315,707
388.67420126893796,705
389.10493622346888,726
389.53566403066429,714
389.966384684843,720
390.39709818032378,731
390.82780451142628,704
391.25850367246994,728
391.68919565777435,728
392.11988046165993,728
392.55055807844758,733
392.98122850245755,729
393.41189172801126,720
393.84254774942991,736
394.27319656103521,720
394.70383815714939,739
395.13447253209455,731
395.56509968019333,723
395.99571959576866,733
396.42633227314394,736
396.85693770664244,720
397.28753589058789,732
397.71812681930493,744
398.14871048711751,732
398.57928688835051,739
399.0098560173289,753
399.44041786837823,736
399.87097243582423,744
400.30151971399238,737
400.73205969720937,748
401.16259237980159,752
401.59311775609609,768
402.02363582041988,737
402.45414656710057,762
402.88464999046596,760
403.31514608484406,761
403.7456348445636,763
404.17611626395291,752
404.60659033734117,776
405.03705705905816,770
405.46751642343281,749
405.89796842479564,769
406.328413057477,789
406.75885031580708,763
407.1892801941172,763
407.61970268673826,774
408.05011778800196,787
408.48052549224025,792
408.91092579378488,768
409.341318686969,769
409.77170416612495,792
410.20208222558608,768
410.63245285968554,781
411.06281606275741,793
411.49317182913558,787
411.92352015315424,792
412.3538610291485,777
412.78419445145323,781
413.21452041440352,786
413.64483891233562,800
414.07514993958472,792
414.50545349048741,792
414.93574955938067,800
415.36603814060084,803
415.79631922848586,790
416.2265928173727,819
416.65685890159955,797
417.08711747550439,809
417.51736853342567,795
417.94761206970287,811
418.37784807867467,811
418.80807655468055,839
419.23829749206055,832
419.66851088515466,817
420.09871672830343,834
420.52891501584776,827
420.95910574212843,825
421.38928890148696,833
421.8194644882654,840
422.249632496806,857
422.6797929214506,864
423.109945756542,854
423.54009099642377,867
423.97022863543896,855
424.40035866793147,880
424.83048108824511,860
425.26059589072446,871
425.69070306971435,896
426.12080261955936,875
426.55089453460545,874
426.98097880919772,896
427.41105543768276,903
427.84112441440647,888
428.27118573371592,886
428.70123938995789,929
429.1312853774798,931
429.56132369062948,907
429.99135432375476,928
430.421377271204,923
430.85139252732591,931
431.28140008646955,934
431.71139994298409,944
432.14139209121987,968
432.57137652552586,945
433.00135324025342,949
433.43132222975237,968
433.86128348837445,960
434.29123701047052,944
434.72118279039279,979
435.15112082249289,971
435.58105110112342,953
436.01097362063672,976
436.44088837538624,966
436.87079535972509,963
437.30069456800732,995
437.73058599458648,976
438.16046963381763,1027
438.59034548005496,1000
439.02021352765388,1013
439.45007377096982,1001
439.87992620435813,1008
440.30977082217538,1016
440.73960761877788,979
441.16943658852233,1011
441.59925772576588,999
442.02907102486608,1029
442.45887648018072,1008
442.88867408606791,1019
443.31846383688628,1025
443.74824572699464,1013
444.17801975075184,1034
444.60778590251812,1037
445.03754417665283,1040
445.46729456751609,1026
445.89703706946892,1045
446.32677167687189,1045
446.75649838408663,1048
447.18621718547462,1080
447.61592807539739,1077
448.04563104821784,1081
448.47532609829824,1094
448.905013220002,1115
449.33469240769188,1123
449.7643636557321,1112
450.19402695848663,1109
450.62368231031974,1121
451.05332970559613,1168
451.48296913868109,1148
451.91260060394,1163
452.34222409573869,1160
452.77183960844332,1165
453.20144713642026,1179
453.63104667403678,1179
454.06063821565959,1203
454.49022175565665,1187
454.91979728839561,1195
455.349364808245,1193
455.7789243095732,1171
456.20847578674943,1200
456.63801923414275,1216
457.0675546461232,1232
457.49708201706062,1209
457.92660134132564,1184
458.35611261328864,1203
458.78561582732107,1217
459.21511097779444,1200
459.64459805908041,1168
460.07407706555131,1161
460.50354799157941,1177
460.93301083153813,1160
461.36246557980047,1163
461.79191223073997,1146
462.2213507787306,1144
462.65078121814707,1141
463.08020354336384,1152
463.50961774875594,1115
463.93902382869891,1131
464.36842177756864,1126
464.79781158974112,1104
465.22719325959287,1091
465.65656678150123,1107
466.08593214984268,1099
466.5152893589954,1097
466.94463840333731,1107
467.37397927724635,1104
467.80331197510185,1129
468.23263649128239,1108
468.66195282016781,1106
469.09126095613743,1111
469.52056089357194,1110
469.94985262685162,1120
470.37913615035717,1120
470.80841145847023,1126
471.23767854557241,1144
471.66693740604563,1145
472.09618803427225,1155
472.525430424635,1170
472.95466457151696,1184
473.38389046930166,1179
473.8131081123729,1176
474.24231749511512,1192
474.67151861191292,1219
475.10071145715096,1248
475.5298960252149,1253
475.95907231049028,1267
476.38824030736311,1266
476.8174000102199,1282
477.24655141344755,1322
477.67569451143339,1291
478.1048292985646,1361
478.53395576922958,1315
478.96307391781653,1363
479.39218373871387,1360
479.82128522631081,1424
480.25037837499713,1417
480.67946317916221,1421
481.10853963319659,1409
481.53760773149054,1458
481.96666746843516,1443
482.39571883842189,1477
482.82476183584225,1483
483.25379645508838,1496
483.682822690553,1480
484.11184053662868,1451
484.54084998770855,1501
484.9698510381865,1499
485.39884368245657,1520
485.82782791491252,1478
486.25680372994992,1501
486.68577112196317,1488
487.1147300853483,1513
487.543680614501,1536
487.97262270381748,1496
488.4015563476944,1533
488.83048154052904,1555
489.25939827671834,1472
489.68830655066057,1513
490.11720635675385,1515
490.54609768939645,1529
490.97498054298751,1555
491.40385491192654,1576
491.832720790613,1584
492.26157817344705,1576
492.6904270548294,1554
493.11926742916052,1585
493.54809929084217,1552
493.9769226342757,1571
494.40573745386297,1580
494.83454374400696,1600
495.2633414991102,1595
495.69213071357592,1600
496.12091138180756,1600
496.54968349820916,1641
496.97844705718552,1645
497.40720205314079,1627
497.83594848048045,1624
498.26468633361026,1639
498.69341560693562,1616
499.1221362948632,1632
499.55084839179972,1569
499.97955189215259,1586
500.40824679032852,1632
500.83693308073589,1590
501.26561075778289,1587
501.69427981587859,1547
502.12294024943191,1587
502.55159205285173,1536
502.98023522054871,1544
503.40886974693285,1520
503.8374956264143,1557
504.26611285340522,1504
504.694721422316,1458
505.12332132755915,1504
505.55191256354624,1449
505.98049512469083,1435
506.40906900540517,1427
506.83763420010337,1448
507.26619070319873,1421
507.69473850910555,1371
508.12327761223889,1395
508.55180800701339,1357
508.98032968784423,1383
509.40884264914797,1331
509.83734688534048,1355
510.26584239083832,1323
510.69432916005854,1349
511.12280718741891,1345
511.55127646733672,1331
511.97973699423085,1354
512.40818876251944,1337
512.83663176662162,1306
513.26506600095706,1345
513.69349145994545,1341
514.121908138007,1355
514.55031602956262,1363
514.97871512903362,1347
515.40710543084049,1381
515.835486929406,1361
516.26385961915219,1368
516.69222349450172,1369
517.120578549878,1399
517.54892477970361,1419
517.97726217840352,1447
518.405590740402,1416
518.83391046012275,1431
519.26222133199178,1408
519.69052335043432,1452
520.11881650987675,1435
520.54710080474524,1536
520.97537622946652,1497
521.40364277846766,1480
521.831900446176,1501
522.26014922702052,1539
522.68838911542832,1553
523.11662010582961,1571
523.54484219265271,1584
523.97305537032764,1600
524.40125963328421,1653
524.829454975953,1632
525.25764139276544,1699
525.685818878152,1645
526.11398742654467,1713
526.54214703237631,1699
526.97029769007827,1670
527.39843939408468,1704
527.82657213882817,1757
528.25469591874264,1760
528.68281072826278,1744
529.11091656182259,1739
529.53901341385767,1745
529.967101278803,1765
530.39518015109479,1800
530.82325002517,1750
531.25131089546369,1761
531.67936275641409,1785
532.107405602459,1744
532.53543942803594,1757
532.96346422758359,1741
533.39147999554029,1750
533.81948672634633,1721
534.24748441443978,1720
534.67547305426194,1745
535.10345264025341,1701
535.53142316685421,1704
535.95938462850654,1683
536.38733701965168,1621
536.815280334732,1687
537.24321456819064,1609
537.6711397144694,1616
538.099055768013,1573
538.52696272326455,1606
538.95486057466917,1587
539.38274931667047,1613
539.810628943715,1568
540.23849945024722,1571
540.6663608307133,1549
541.09421307956063,1568
541.522056191235,1568
541.9498901601844,1547
542.37771498085635,1520
542.8055306476989,1488
543.233337155161,1473
543.66113449769148,1520
544.08892266973965,1526
544.516701665755,1520
544.944471480189,1507
545.37223210749153,1491
545.799983542114,1480
546.2277257785081,1477
546.65545881112553,1443
547.08318263441936,1449
547.510897242842,1491
547.938602630847,1483
548.36629879288819,1443
548.79398572341938,1447
549.22166341689581,1414
549.64933186777182,1457
550.076991070504,1427
550.50464101954674,1408
550.93228170935777,1453
551.35991313439365,1433
551.78753528911125,1419
552.21514816796844,1449
552.64275176542333,1447
553.07034607593437,1427
553.49793109396046,1443
553.92550681396165,1451
554.35307323039717,1459
554.7806303377273,1442
555.20817813041356,1478
555.63571660291632,1483
556.06324574969778,1456
556.49076556521948,1460
556.91827604394416,1507
557.345777180335,1497
557.77326896885506,1511
558.2007514039683,1530
558.62822448013867,1536
559.05568819183168,1531
559.4831425335118,1517
559.91058749964486,1579
560.33802308469717,1589
560.76544928313433,1597
561.19286608942411,1636
561.62027349803373,1635
562.04767150343082,1653
562.47506010008408,1632
562.90243928246127,1675
563.32980904503245,1687
563.75716938226685,1690
564.1845202886351,1736
564.61186175860655,1787
565.03919378665262,1785
565.4665163672455,1762
565.89382949485594,1803
566.32113316395669,1799
566.74842736902031,1878
567.17571210452047,1825
567.60298736493007,1881
568.030253144724,1907
568.45750943837618,1880
568.88475624036153,1915
569.3119935451557,1912
569.739221347235,1982
570.16643964107493,1927
570.59364842115247,1971
571.02084768194584,2003
571.44803741793146,1991
571.87521762358767,1988
572.30238829339407,2000
572.72954942182821,2019
573.15670100337093,2035
573.58384303250114,2080
574.01097550369991,2076
574.43809841144821,2123
574.86521175022676,2112
575.29231551451755,2104
575.71940969880336,2128
576.146494297566,2138
576.57356930528886,2115
577.000634716456,2144
577.42769052555138,2103
577.85473672705871,2135
578.28177331546385,2119
578.70880028525232,2171
579.1358176309094,2136
579.5628253469215,2115
579.98982342777583,2176
580.41681186795893,2136
580.84379066195959,2183
581.27075980426525,2101
581.6977192893645,2083
582.12466911174715,2184
582.55160926590167,2103
582.97853974631926,2099
583.40546054748984,2161
583.83237166390438,2177
584.25927309005408,2113
584.68616482043137,2123
585.11304684952825,2131
585.53991917183748,2112
585.96678178185243,2089
586.39363467406667,2144
586.82047784297515,2176
587.24731128307178,2147
587.67413498885162,2096
588.1009489548112,2129
588.52775317544535,2138
588.95454764525084,2160
589.3813323587259,2154
589.808107310367,2134
590.23487249467178,2115
590.66162790613885,2182
591.08837353926788,2203
591.51510938855756,2123
591.9418354485075,2176
592.36855171361844,2219
592.79525817839112,2211
593.22195483732651,2224
593.64864168492613,2225
594.07531871569279,2248
594.50198592412869,2295
594.92864330473719,2275
595.3552908520212,2336
595.78192856048577,2339
596.20855642463471,2385
596.63517443897331,2352
597.0617825980064,2390
597.48838089624076,2428
597.91496932818325,2488
598.341547888339,2503
598.76811657121686,2487
599.19467537132459,2560
599.62122428316979,2587
600.04776330126151,2601
600.47429242010958,2637
600.90081163422315,2693
601.32732093811228,2704
601.75382032628829,2741
602.18030979326193,2752
602.60678933354541,2771
603.03325894165039,2858
603.4597186120892,2844
603.88616833937544,2912
604.31260811802258,2907
604.73903794254454,2992
605.16545780745628,2992
605.59186770727229,2971
606.01826763650843,2993
606.44465758968033,2971
606.87103756130455,2969
607.2974075458983,3001
607.72376753797892,2997
608.1501175320642,3056
608.57645752267217,3083
609.00278750432267,3088
609.42910747153394,3099
609.85541741882662,3129
610.28171734072066,3133
610.708007231737,3049
611.13428708639731,3080
611.56055689922243,3136
611.98681666473522,3171
612.41306637745868,3098
612.83930603191538,3075
613.26553562263007,3107
613.69175514412586,3120
614.11796459092807,3073
614.54416395756164,3068
614.97035323855221,3126
615.39653242842587,3121
615.82270152170975,3017
616.24886051293106,3008
616.67500939661693,2961
617.10114816729526,2976
617.52727681949523,3019
617.95339534774587,2946
618.37950374657657,3043
618.8056020105173,2941
619.2316901340987,2961
619.65776811185265,2936
620.08383593830933,2923
620.50989360800213,2944
620.9359411154627,2914
621.3619784552244,2884
621.78800562182073,2904
622.21402260978562,2937
622.64002941365379,2928
623.06602602795988,2947
623.49201244723963,2979
623.91798866602937,2929
624.34395467886566,2972
624.76991048028492,2881
625.19585606482462,2952
625.62179142702291,2944
626.04771656141929,2912
626.47363146255134,2896
626.89953612495879,2955
627.32543054318216,2976
627.75131471176178,2963
628.17718862523873,2971
628.60305227815365,2930
629.02890566504948,2921
629.45474878046866,2924
629.88058161895367,2923
630.30640417504821,2983
630.73221644329658,3009
631.15801841824293,2971
631.58381009443178,2979
632.0095914664098,2977
632.43536252872173,3035
632.861123275915,3040
633.286873702536,3097
633.71261380313331,3040
634.13834357225312,2997
634.56406300444564,3057
634.989772094259,3081
635.41547083624266,3045
635.84115922494709,3107
636.26683725492239,3185
636.69250492072013,3107
637.11816221689151,3152
637.54380913798877,3195
637.9694456785636,3173
638.3950718331705,3264
638.82068759636218,3224
639.24629296269245,3371
639.671887926717,3289
640.09747248298982,3352
640.52304662606718,3356
640.94861035050417,3392
641.37416365085915,3523
641.799706521688,3505
642.22523895754841,3459
642.65076095299912,3529
643.07627250259827,3563
643.501773600905,3552
643.92726424247962,3618
644.352744421882,3696
644.77821413367246,3744
645.20367337241294,3738
645.62912213266441,3822
646.0545604089898,3824
646.47998819595136,3910
646.90540548811282,3894
647.33081228003789,3915
647.75620856629041,4064
648.18159434143547,3992
648.60696960003872,4101
649.032334336666,4153
649.45768854588312,4213
649.88303222225761,4256
650.30836536035645,4272
650.73368795474744,4316
651.15899999999988,4275
651.58430149068181,4360
652.009592421363,4448
652.43487278661382,4403
652.8601425810042,4374
653.28540179910578,4432
653.7106504354889,4456
654.13588848472727,4457
654.56111594139247,4544
654.98633280005811,4487
655.41153905529745,4536
655.83673470168492,4549
656.26191973379468,4513
656.68709414620275,4529
657.11225793348444,4563
657.5374110902153,4566
657.96255361097371,4592
658.38768549033568,4624
658.8128067228796,4630
659.23791730318317,4736
659.6630172258258,4757
660.08810648538679,4784
660.51318507644658,4793
660.93825299358423,4817
661.36331023138189,4908
661.78835678442135,4848
662.2133926472834,4960
662.63841781455119,4995
663.06343228080812,5016
663.488436040637,5008
663.91342908862271,5133
664.33841141934977,5115
664.763383027403,5217
665.18834390736856,5169
665.61329405383231,5207
666.03823346138108,5320
666.463162124603,5315
666.88808003808481,5299
667.31298719641472,5419
667.7378835941829,5444
668.16276922597785,5537
668.58764408638979,5563
669.0125081700088,5602
669.43736147142681,5633
669.86220398523449,5714
670.28703570602477,5707
670.71185662838934,5753
671.136666746922,5808
671.56146605621586,5728
671.98625455086608,5937
672.41103222546633,5795
672.83579907461274,5890
673.26055509290109,6040
673.68530027492716,5945
674.11003461528821,5868
674.53475810858163,5931
674.9594707494058,5834
675.38417253235855,5816
675.80886345203965,5875
676.23354350304771,5856
676.65821267998388,5808
677.08287097744812,5779
677.507518390042,5731
677.9321549123672,5745
678.3567805390262,5619
678.78139526462144,5632
679.20599908375607,5468
679.63059199103452,5312
680.055173981061,5221
680.479745048441,5243
680.9043051877793,5193
681.3288543936826,5132
681.7533926607565,4985
682.17791998360963,4896
682.60243635684856,4738
683.0269417750817,4720
683.45143623291824,4550
683.87591972496682,4491
684.30039224583811,4465
684.72485379014245,4370
685.14930435249016,4284
685.57374392749318,4135
685.998172509764,4038
686.42259009391421,3989
686.846996674557,3952
687.27139224630719,3939
687.69577680377824,3787
688.12015034158514,3667
688.54451285434277,3587
688.96886433666748,3555
689.39320478317586,3491
689.81753418848439,3353
690.24185254721044,3344
690.66615985397266,3301
691.0904561033899,3232
691.51474129008034,3155
691.93901540866455,3082
692.3632784537624,3065
692.787530419995,3051
693.2117713019835,2937
693.63600109435,2917
694.06021979171658,2840
694.48442738870654,2850
694.90862387994389,2753
695.33280926005216,2744
695.75698352365646,2723
696.18114666538133,2667
696.60529867985338,2624
697.02943956169884,2563
697.45356930554374,2528
697.877687906017,2513
698.3017953577455,2507
698.72589165535828,2405
699.14997679348448,2377
699.57405076675343,2451
699.99811356979581,2295
700.42216519724218,2329
700.84620564372392,2272
701.270234903873,2224
701.69425297232192,2203
702.11825984370353,2180
