Wavelength,Intensity
364.54181210327897,663
364.97293823223123,661
365.40405753246409,672
365.83516999828055,665
366.26627562398357,657
366.69737440387615,679
367.12846633226161,682
367.55955140344372,672
367.99062961172712,672
368.42170095141518,665
368.852765416813,680
369.28382300222535,677
369.71487370195695,672
370.14591751031389,683
370.57695442160144,681
371.00798443012582,672
371.43900753019284,662
371.87002371610936,688
372.30103298218205,675
372.73203532271816,672
373.16303073202516,657
373.59401920441036,679
374.025000734182,683
374.45597531564812,666
374.88694294311716,675
375.31790361089838,680
375.74885731330039,668
376.17980404463276,688
376.610743799205,665
377.04167657132712,672
377.47260235530973,681
377.90352114546289,667
378.33443293609719,683
378.76533772152425,681
379.19623549605541,672
379.62712625400189,672
380.05800998967612,667
380.48888669739011,672
380.91975637145651,675
381.35061900618791,674
381.78147459589792,675
382.21232313489952,675
382.64316461750622,678
383.07399903803275,665
383.50482639079257,680
383.93564667010088,670
384.36645987027214,674
384.79726598562195,688
385.22806501046523,677
385.65885693911804,678
386.0896417658962,681
386.52041948511646,665
386.95119009109527,679
387.38195357814942,690
387.81270994059611,663
388.24345917275315,685
388.67420126893796,683
389.10493622346888,675
389.53566403066429,697
389.966384684843,667
390.39709818032378,688
390.82780451142628,672
391.25850367246994,673
391.68919565777435,685
392.11988046165993,699
392.55055807844758,688
392.98122850245755,689
393.41189172801126,691
393.84254774942991,688
394.27319656103521,685
394.70383815714939,685
395.13447253209455,685
395.56509968019333,694
395.99571959576866,680
396.42633227314394,699
396.85693770664244,683
397.28753589058789,697
397.71812681930493,683
398.14871048711751,689
398.57928688835051,683
399.0098560173289,704
399.44041786837823,704
399.87097243582423,688
400.30151971399238,696
400.73205969720937,690
401.16259237980159,699
401.59311775609609,712
402.02363582041988,690
402.45414656710057,690
402.88464999046596,696
403.31514608484406,705
403.7456348445636,681
404.17611626395291,691
404.60659033734117,704
405.03705705905816,707
405.46751642343281,705
405.89796842479564,683
406.328413057477,707
406.75885031580708,699
407.1892801941172,705
407.61970268673826,694
408.05011778800196,713
408.48052549224025,696
408.91092579378488,705
409.341318686969,701
409.77170416612495,707
410.20208222558608,728
410.63245285968554,701
411.06281606275741,717
411.49317182913558,704
411.92352015315424,709
412.3538610291485,715
412.78419445145323,723
413.21452041440352,720
413.64483891233562,720
414.07514993958472,728
414.50545349048741,723
414.93574955938067,705
415.36603814060084,723
415.79631922848586,716
416.2265928173727,711
416.65685890159955,709
417.08711747550439,722
417.51736853342567,722
417.94761206970287,717
418.37784807867467,729
418.80807655468055,723
419.23829749206055,721
419.66851088515466,731
420.09871672830343,739
420.52891501584776,731
420.95910574212843,739
421.38928890148696,715
421.8194644882654,729
422.249632496806,745
422.6797929214506,736
423.109945756542,757
423.54009099642377,758
423.97022863543896,741
424.40035866793147,748
424.83048108824511,774
425.26059589072446,749
425.69070306971435,762
426.12080261955936,763
426.55089453460545,761
426.98097880919772,777
427.41105543768276,755
427.84112441440647,753
428.27118573371592,784
428.70123938995789,768
429.1312853774798,794
429.56132369062948,771
429.99135432375476,790
430.421377271204,791
430.85139252732591,776
431.28140008646955,788
431.71139994298409,801
432.14139209121987,787
432.57137652552586,784
433.00135324025342,797
433.43132222975237,779
433.86128348837445,821
434.29123701047052,797
434.72118279039279,785
435.15112082249289,788
435.58105110112342,792
436.01097362063672,793
436.44088837538624,793
436.87079535972509,777
437.30069456800732,803
437.73058599458648,800
438.16046963381763,794
438.59034548005496,784
439.02021352765388,794
439.45007377096982,800
439.87992620435813,819
440.30977082217538,803
440.73960761877788,793
441.16943658852233,805
441.59925772576588,816
442.02907102486608,806
442.45887648018072,832
442.88867408606791,819
443.31846383688628,816
443.74824572699464,822
444.17801975075184,819
444.60778590251812,828
