Wavelength,Intensity
364.54181210327897,667
364.97293823223123,665
365.40405753246409,677
365.83516999828055,689
366.26627562398357,672
366.69737440387615,682
367.12846633226161,673
367.55955140344372,674
367.99062961172712,689
368.42170095141518,675
368.852765416813,675
369.28382300222535,674
369.71487370195695,685
370.14591751031389,667
370.57695442160144,685
371.00798443012582,678
371.43900753019284,665
371.87002371610936,682
372.30103298218205,664
372.73203532271816,688
373.16303073202516,683
373.59401920441036,674
374.025000734182,679
374.45597531564812,689
374.88694294311716,678
375.31790361089838,679
375.74885731330039,685
376.17980404463276,683
376.610743799205,688
377.04167657132712,675
377.47260235530973,673
377.90352114546289,680
378.33443293609719,664
378.76533772152425,676
379.19623549605541,685
379.62712625400189,665
380.05800998967612,681
380.48888669739011,672
380.91975637145651,672
381.35061900618791,688
381.78147459589792,681
382.21232313489952,681
382.64316461750622,704
383.07399903803275,680
383.50482639079257,679
383.93564667010088,691
384.36645987027214,672
384.79726598562195,681
385.22806501046523,679
385.65885693911804,670
386.0896417658962,694
386.52041948511646,675
386.95119009109527,675
387.38195357814942,675
387.81270994059611,679
388.24345917275315,675
388.67420126893796,680
389.10493622346888,663
389.53566403066429,678
389.966384684843,689
390.39709818032378,663
390.82780451142628,672
391.25850367246994,683
391.68919565777435,683
392.11988046165993,676
392.55055807844758,675
392.98122850245755,681
393.41189172801126,679
393.84254774942991,688
394.27319656103521,672
394.70383815714939,695
395.13447253209455,682
395.56509968019333,683
395.99571959576866,683
396.42633227314394,683
396.85693770664244,681
397.28753589058789,695
397.71812681930493,673
398.14871048711751,681
398.57928688835051,678
399.0098560173289,667
399.44041786837823,688
399.87097243582423,675
400.30151971399238,682
400.73205969720937,697
401.16259237980159,679
401.59311775609609,675
402.02363582041988,681
402.45414656710057,683
402.88464999046596,688
403.31514608484406,688
403.7456348445636,672
404.17611626395291,681
404.60659033734117,679
405.03705705905816,665
405.46751642343281,683
405.89796842479564,689
406.328413057477,688
406.75885031580708,688
407.1892801941172,675
407.61970268673826,675
