Wavelength,Intensity
364.54181210327897,656
364.97293823223123,659
365.40405753246409,664
365.83516999828055,661
366.26627562398357,664
366.69737440387615,665
367.12846633226161,667
367.55955140344372,667
367.99062961172712,663
368.42170095141518,675
368.852765416813,663
369.28382300222535,681
369.71487370195695,672
370.14591751031389,675
370.57695442160144,678
371.00798443012582,675
371.43900753019284,667
371.87002371610936,664
372.30103298218205,675
372.73203532271816,673
373.16303073202516,675
373.59401920441036,680
374.025000734182,682
374.45597531564812,688
374.88694294311716,667
375.31790361089838,678
375.74885731330039,685
376.17980404463276,675
376.610743799205,672
377.04167657132712,689
377.47260235530973,681
377.90352114546289,664
378.33443293609719,665
378.76533772152425,667
379.19623549605541,679
379.62712625400189,675
380.05800998967612,673
380.48888669739011,677
380.91975637145651,667
381.35061900618791,665
381.78147459589792,674
382.21232313489952,672
382.64316461750622,675
383.07399903803275,683
383.50482639079257,662
383.93564667010088,662
384.36645987027214,675
384.79726598562195,664
385.22806501046523,683
385.65885693911804,673
386.0896417658962,679
386.52041948511646,673
386.95119009109527,672
387.38195357814942,675
387.81270994059611,664
388.24345917275315,682
388.67420126893796,672
389.10493622346888,680
389.53566403066429,673
389.966384684843,673
390.39709818032378,669
390.82780451142628,667
391.25850367246994,675
391.68919565777435,691
392.11988046165993,675
392.55055807844758,664
392.98122850245755,678
393.41189172801126,680
393.84254774942991,675
394.27319656103521,679
394.70383815714939,677
395.13447253209455,695
395.56509968019333,679
395.99571959576866,672
396.42633227314394,672
396.85693770664244,664
397.28753589058789,673
397.71812681930493,673
398.14871048711751,659
398.57928688835051,672
399.0098560173289,683
399.44041786837823,672
399.87097243582423,674
400.30151971399238,672
400.73205969720937,666
401.16259237980159,680
401.59311775609609,662
402.02363582041988,667
402.45414656710057,680
402.88464999046596,679
403.31514608484406,675
403.7456348445636,683
404.17611626395291,673
404.60659033734117,675
405.03705705905816,677
405.46751642343281,672
405.89796842479564,675
406.328413057477,673
406.75885031580708,669
407.1892801941172,678
407.61970268673826,672
408.05011778800196,667
408.48052549224025,677
408.91092579378488,673
409.341318686969,661
409.77170416612495,683
410.20208222558608,673
410.63245285968554,672
411.06281606275741,688
411.49317182913558,667
411.92352015315424,678
412.3538610291485,683
412.78419445145323,659
413.21452041440352,683
413.64483891233562,673
414.07514993958472,659
414.50545349048741,679
414.93574955938067,681
415.36603814060084,659
415.79631922848586,689
416.2265928173727,659
416.65685890159955,675
417.08711747550439,689
417.51736853342567,672
417.94761206970287,673
418.37784807867467,659
418.80807655468055,667
419.23829749206055,680
419.66851088515466,680
420.09871672830343,675
420.52891501584776,673
420.95910574212843,680
421.38928890148696,662
421.8194644882654,672
422.249632496806,661
422.6797929214506,678
423.109945756542,691
423.54009099642377,665
423.97022863543896,664
424.40035866793147,678
424.83048108824511,674
425.26059589072446,681
425.69070306971435,672
426.12080261955936,672
426.55089453460545,683
426.98097880919772,683
427.41105543768276,661
427.84112441440647,696
428.27118573371592,683
428.70123938995789,679
429.1312853774798,691
429.56132369062948,679
429.99135432375476,688
430.421377271204,688
430.85139252732591,672
431.28140008646955,688
431.71139994298409,695
432.14139209121987,669
432.57137652552586,693
433.00135324025342,681
433.43132222975237,679
433.86128348837445,689
434.29123701047052,673
434.72118279039279,673
435.15112082249289,688
435.58105110112342,680
436.01097362063672,689
436.44088837538624,689
436.87079535972509,675
437.30069456800732,682
437.73058599458648,672
438.16046963381763,661
438.59034548005496,691
439.02021352765388,672
439.45007377096982,675
439.87992620435813,675
440.30977082217538,679
440.73960761877788,663
441.16943658852233,683
441.59925772576588,672
442.02907102486608,677
442.45887648018072,689
442.88867408606791,672
443.31846383688628,672
443.74824572699464,691
444.17801975075184,657
444.60778590251812,688
445.03754417665283,691
445.46729456751609,667
445.89703706946892,679
446.32677167687189,675
446.75649838408663,683
447.18621718547462,689
447.61592807539739,662
448.04563104821784,672
448.47532609829824,683
448.905013220002,673
449.33469240769188,683
449.7643636557321,683
450.19402695848663,673
450.62368231031974,694
451.05332970559613,672
451.48296913868109,672
451.91260060394,675
452.34222409573869,672
452.77183960844332,670
453.20144713642026,675
453.63104667403678,664
454.06063821565959,681
454.49022175565665,697
454.91979728839561,659
455.349364808245,683
455.7789243095732,681
456.20847578674943,672
456.63801923414275,683
457.0675546461232,675
457.49708201706062,672
457.92660134132564,688
458.35611261328864,663
458.78561582732107,659
459.21511097779444,696
459.64459805908041,672
460.07407706555131,679
460.50354799157941,675
460.93301083153813,673
461.36246557980047,680
461.79191223073997,672
462.2213507787306,675
462.65078121814707,684
463.08020354336384,675
463.50961774875594,675
463.93902382869891,684
464.36842177756864,672
464.79781158974112,679
465.22719325959287,688
465.65656678150123,659
466.08593214984268,675
466.5152893589954,699
466.94463840333731,672
467.37397927724635,678
467.80331197510185,688
468.23263649128239,672
468.66195282016781,677
469.09126095613743,681
469.52056089357194,672
469.94985262685162,695
470.37913615035717,681
470.80841145847023,667
471.23767854557241,683
471.66693740604563,665
472.09618803427225,673
472.525430424635,675
472.95466457151696,672
473.38389046930166,672
473.8131081123729,691
474.24231749511512,679
474.67151861191292,675
475.10071145715096,681
475.5298960252149,664
475.95907231049028,683
476.38824030736311,675
476.8174000102199,669
477.24655141344755,685
477.67569451143339,689
478.1048292985646,675
478.53395576922958,675
478.96307391781653,675
479.39218373871387,675
479.82128522631081,688
480.25037837499713,665
480.67946317916221,675
481.10853963319659,683
481.53760773149054,667
481.96666746843516,683
482.39571883842189,667
482.82476183584225,675
483.25379645508838,683
483.682822690553,675
484.11184053662868,674
484.54084998770855,673
484.9698510381865,681
485.39884368245657,672
485.82782791491252,675
486.25680372994992,688
486.68577112196317,680
487.1147300853483,681
487.543680614501,669
487.97262270381748,680
488.4015563476944,667
488.83048154052904,673
489.25939827671834,681
489.68830655066057,679
490.11720635675385,689
490.54609768939645,692
490.97498054298751,675
491.40385491192654,667
491.832720790613,683
492.26157817344705,665
492.6904270548294,675
493.11926742916052,688
493.54809929084217,673
493.9769226342757,672
494.40573745386297,688
494.83454374400696,661
495.2633414991102,688
495.69213071357592,679
496.12091138180756,677
496.54968349820916,680
496.97844705718552,679
497.40720205314079,681
497.83594848048045,681
498.26468633361026,661
498.69341560693562,685
499.1221362948632,678
499.55084839179972,683
499.97955189215259,680
500.40824679032852,672
500.83693308073589,672
501.26561075778289,677
501.69427981587859,673
502.12294024943191,672
502.55159205285173,675
502.98023522054871,668
503.40886974693285,681
503.8374956264143,672
504.26611285340522,675
504.694721422316,667
505.12332132755915,685
505.55191256354624,673
505.98049512469083,683
506.40906900540517,684
506.83763420010337,681
507.26619070319873,680
507.69473850910555,683
508.12327761223889,680
508.55180800701339,673
508.98032968784423,667
509.40884264914797,672
509.83734688534048,683
510.26584239083832,675
510.69432916005854,672
511.12280718741891,682
511.55127646733672,675
511.97973699423085,677
512.40818876251944,683
512.83663176662162,672
513.26506600095706,689
513.69349145994545,682
514.121908138007,672
514.55031602956262,691
514.97871512903362,675
515.40710543084049,681
515.835486929406,688
516.26385961915219,682
516.69222349450172,669
517.120578549878,688
517.54892477970361,680
517.97726217840352,684
518.405590740402,672
518.83391046012275,672
519.26222133199178,681
519.69052335043432,681
520.11881650987675,667
520.54710080474524,664
520.97537622946652,683
521.40364277846766,688
521.831900446176,669
522.26014922702052,683
522.68838911542832,683
523.11662010582961,683
523.54484219265271,681
523.97305537032764,668
524.40125963328421,679
524.829454975953,677
525.25764139276544,665
525.685818878152,675
526.11398742654467,681
526.54214703237631,669
526.97029769007827,677
527.39843939408468,673
527.82657213882817,665
528.25469591874264,695
528.68281072826278,665
529.11091656182259,681
529.53901341385767,672
529.967101278803,681
530.39518015109479,689
530.82325002517,672
531.25131089546369,688
531.67936275641409,680
532.107405602459,665
532.53543942803594,689
532.96346422758359,681
533.39147999554029,678
533.81948672634633,685
534.24748441443978,673
534.67547305426194,677
535.10345264025341,673
535.53142316685421,681
535.95938462850654,675
536.38733701965168,679
536.815280334732,682
537.24321456819064,683
537.6711397144694,674
538.099055768013,678
538.52696272326455,673
538.95486057466917,673
539.38274931667047,679
539.810628943715,675
540.23849945024722,675
540.6663608307133,677
541.09421307956063,683
541.522056191235,682
541.9498901601844,672
542.37771498085635,677
542.8055306476989,689
543.233337155161,673
543.66113449769148,680
544.08892266973965,678
544.516701665755,679
544.944471480189,691
545.37223210749153,672
545.799983542114,688
546.2277257785081,677
546.65545881112553,667
547.08318263441936,694
547.510897242842,689
547.938602630847,667
548.36629879288819,678
548.79398572341938,683
549.22166341689581,683
549.64933186777182,682
550.076991070504,683
550.50464101954674,688
550.93228170935777,686
551.35991313439365,679
551.78753528911125,690
552.21514816796844,681
552.64275176542333,688
553.07034607593437,678
553.49793109396046,673
553.92550681396165,680
554.35307323039717,675
554.7806303377273,678
555.20817813041356,672
555.63571660291632,672
556.06324574969778,689
556.49076556521948,672
556.91827604394416,691
557.345777180335,675
557.77326896885506,673
558.2007514039683,680
558.62822448013867,691
559.05568819183168,681
559.4831425335118,693
559.91058749964486,677
560.33802308469717,683
560.76544928313433,689
561.19286608942411,673
561.62027349803373,675
562.04767150343082,675
562.47506010008408,679
562.90243928246127,683
563.32980904503245,672
563.75716938226685,680
564.1845202886351,675
564.61186175860655,688
565.03919378665262,664
565.4665163672455,688
565.89382949485594,670
566.32113316395669,694
566.74842736902031,693
567.17571210452047,675
567.60298736493007,689
568.030253144724,678
568.45750943837618,675
568.88475624036153,693
569.3119935451557,672
569.739221347235,681
570.16643964107493,704
570.59364842115247,673
571.02084768194584,680
571.44803741793146,688
571.87521762358767,682
572.30238829339407,683
572.72954942182821,688
573.15670100337093,678
573.58384303250114,675
574.01097550369991,691
574.43809841144821,677
574.86521175022676,678
575.29231551451755,689
575.71940969880336,675
576.146494297566,696
576.57356930528886,667
577.000634716456,675
577.42769052555138,690
577.85473672705871,667
578.28177331546385,685
578.70880028525232,683
579.1358176309094,673
579.5628253469215,681
579.98982342777583,683
580.41681186795893,664
580.84379066195959,688
581.27075980426525,679
581.6977192893645,664
582.12466911174715,696
582.55160926590167,685
582.97853974631926,676
583.40546054748984,688
583.83237166390438,672
584.25927309005408,685
584.68616482043137,694
585.11304684952825,691
585.53991917183748,681
585.96678178185243,681
586.39363467406667,683
586.82047784297515,688
587.24731128307178,681
587.67413498885162,681
588.1009489548112,695
588.52775317544535,665
588.95454764525084,688
589.3813323587259,689
589.808107310367,672
590.23487249467178,689
590.66162790613885,691
591.08837353926788,675
591.51510938855756,684
591.9418354485075,695
592.36855171361844,675
592.79525817839112,689
593.22195483732651,691
593.64864168492613,673
594.07531871569279,696
594.50198592412869,677
594.92864330473719,693
595.3552908520212,689
595.78192856048577,675
596.20855642463471,677
596.63517443897331,685
597.0617825980064,679
597.48838089624076,682
597.91496932818325,675
598.341547888339,675
598.76811657121686,683
599.19467537132459,688
599.62122428316979,681
600.04776330126151,681
600.47429242010958,681
600.90081163422315,678
601.32732093811228,683
601.75382032628829,680
602.18030979326193,680
602.60678933354541,688
603.03325894165039,672
603.4597186120892,673
603.88616833937544,704
604.31260811802258,675
604.73903794254454,688
605.16545780745628,683
605.59186770727229,667
606.01826763650843,683
606.44465758968033,683
606.87103756130455,677
607.2974075458983,697
607.72376753797892,681
608.1501175320642,688
608.57645752267217,683
609.00278750432267,662
609.42910747153394,691
609.85541741882662,696
610.28171734072066,673
610.708007231737,695
611.13428708639731,691
611.56055689922243,679
611.98681666473522,704
612.41306637745868,675
612.83930603191538,680
613.26553562263007,693
613.69175514412586,683
614.11796459092807,680
614.54416395756164,688
614.97035323855221,683
615.39653242842587,697
615.82270152170975,673
616.24886051293106,692
616.67500939661693,689
617.10114816729526,688
617.52727681949523,691
617.95339534774587,697
618.37950374657657,691
618.8056020105173,675
619.2316901340987,695
619.65776811185265,688
620.08383593830933,675
620.50989360800213,691
620.9359411154627,685
621.3619784552244,679
621.78800562182073,694
622.21402260978562,680
622.64002941365379,688
623.06602602795988,696
623.49201244723963,683
623.91798866602937,699
624.34395467886566,688
624.76991048028492,675
625.19585606482462,697
625.62179142702291,683
626.04771656141929,688
626.47363146255134,699
626.89953612495879,675
627.32543054318216,684
627.75131471176178,688
628.17718862523873,680
628.60305227815365,681
629.02890566504948,688
629.45474878046866,678
629.88058161895367,691
630.30640417504821,672
630.73221644329658,667
631.15801841824293,691
631.58381009443178,678
632.0095914664098,683
632.43536252872173,683
632.861123275915,681
633.286873702536,691
633.71261380313331,683
634.13834357225312,673
634.56406300444564,685
634.989772094259,683
635.41547083624266,678
635.84115922494709,688
636.26683725492239,683
636.69250492072013,689
637.11816221689151,681
637.54380913798877,675
637.9694456785636,678
638.3950718331705,697
638.82068759636218,688
639.24629296269245,675
639.671887926717,685
640.09747248298982,665
640.52304662606718,688
640.94861035050417,699
641.37416365085915,667
641.799706521688,681
642.22523895754841,681
642.65076095299912,675
643.07627250259827,688
643.501773600905,689
643.92726424247962,675
644.352744421882,697
644.77821413367246,683
645.20367337241294,675
645.62912213266441,688
646.0545604089898,675
646.47998819595136,680
646.90540548811282,688
647.33081228003789,677
647.75620856629041,691
648.18159434143547,689
648.60696960003872,674
649.032334336666,679
649.45768854588312,675
649.88303222225761,677
650.30836536035645,688
650.73368795474744,691
651.15899999999988,675
651.58430149068181,679
652.009592421363,675
652.43487278661382,675
652.8601425810042,681
653.28540179910578,680
653.7106504354889,683
654.13588848472727,683
654.56111594139247,675
654.98633280005811,681
655.41153905529745,679
655.83673470168492,665
656.26191973379468,685
656.68709414620275,688
657.11225793348444,673
657.5374110902153,684
657.96255361097371,672
658.38768549033568,675
658.8128067228796,683
659.23791730318317,672
659.6630172258258,688
660.08810648538679,696
660.51318507644658,682
660.93825299358423,682
661.36331023138189,683
661.78835678442135,667
662.2133926472834,695
662.63841781455119,679
663.06343228080812,681
663.488436040637,691
663.91342908862271,675
664.33841141934977,683
664.763383027403,683
665.18834390736856,672
665.61329405383231,688
666.03823346138108,689
666.463162124603,679
666.88808003808481,673
667.31298719641472,688
667.7378835941829,681
668.16276922597785,675
668.58764408638979,679
669.0125081700088,688
669.43736147142681,685
669.86220398523449,678
670.28703570602477,668
670.71185662838934,691
671.136666746922,685
671.56146605621586,674
671.98625455086608,689
672.41103222546633,688
672.83579907461274,684
673.26055509290109,688
673.68530027492716,677
674.11003461528821,685
674.53475810858163,683
674.9594707494058,680
675.38417253235855,683
