Wavelength,Intensity
364.54181210327897,663
364.97293823223123,677
365.40405753246409,679
365.83516999828055,681
366.26627562398357,673
366.69737440387615,673
367.12846633226161,674
367.55955140344372,672
367.99062961172712,669
368.42170095141518,684
368.852765416813,673
369.28382300222535,678
369.71487370195695,680
370.14591751031389,683
370.57695442160144,688
371.00798443012582,688
371.43900753019284,672
371.87002371610936,672
372.30103298218205,682
372.73203532271816,673
373.16303073202516,688
373.59401920441036,694
374.025000734182,688
374.45597531564812,680
374.88694294311716,691
375.31790361089838,676
375.74885731330039,677
376.17980404463276,697
376.610743799205,672
377.04167657132712,699
377.47260235530973,673
377.90352114546289,672
378.33443293609719,685
378.76533772152425,677
379.19623549605541,667
379.62712625400189,688
380.05800998967612,688
380.48888669739011,672
380.91975637145651,697
381.35061900618791,672
381.78147459589792,681
382.21232313489952,681
382.64316461750622,672
383.07399903803275,685
383.50482639079257,683
383.93564667010088,677
384.36645987027214,683
384.79726598562195,689
385.22806501046523,681
385.65885693911804,699
386.0896417658962,680
386.52041948511646,672
386.95119009109527,691
387.38195357814942,684
387.81270994059611,689
388.24345917275315,689
388.67420126893796,688
389.10493622346888,696
389.53566403066429,689
389.966384684843,681
390.39709818032378,699
390.82780451142628,704
391.25850367246994,688
391.68919565777435,690
392.11988046165993,691
392.55055807844758,707
392.98122850245755,699
393.41189172801126,700
393.84254774942991,705
394.27319656103521,699
394.70383815714939,688
395.13447253209455,704
395.56509968019333,705
395.99571959576866,705
396.42633227314394,700
396.85693770664244,709
397.28753589058789,699
397.71812681930493,713
398.14871048711751,712
398.57928688835051,720
399.0098560173289,720
399.44041786837823,720
399.87097243582423,707
400.30151971399238,712
400.73205969720937,702
401.16259237980159,721
401.59311775609609,727
402.02363582041988,721
402.45414656710057,711
402.88464999046596,721
403.31514608484406,710
403.7456348445636,738
404.17611626395291,722
404.60659033734117,720
405.03705705905816,739
405.46751642343281,724
405.89796842479564,723
406.328413057477,725
406.75885031580708,729
407.1892801941172,723
407.61970268673826,747
408.05011778800196,721
408.48052549224025,741
408.91092579378488,736
409.341318686969,737
409.77170416612495,739
410.20208222558608,727
410.63245285968554,736
411.06281606275741,739
411.49317182913558,747
411.92352015315424,731
412.3538610291485,739
412.78419445145323,755
413.21452041440352,745
413.64483891233562,756
414.07514993958472,761
414.50545349048741,752
414.93574955938067,753
415.36603814060084,742
415.79631922848586,737
416.2265928173727,763
416.65685890159955,763
417.08711747550439,745
417.51736853342567,776
417.94761206970287,760
418.37784807867467,787
418.80807655468055,787
419.23829749206055,779
419.66851088515466,787
420.09871672830343,785
420.52891501584776,795
420.95910574212843,821
421.38928890148696,784
421.8194644882654,807
422.249632496806,805
422.6797929214506,817
423.109945756542,811
423.54009099642377,835
423.97022863543896,838
424.40035866793147,816
424.83048108824511,837
425.26059589072446,857
425.69070306971435,856
426.12080261955936,849
426.55089453460545,851
426.98097880919772,871
427.41105543768276,853
427.84112441440647,873
428.27118573371592,859
428.70123938995789,859
429.1312853774798,880
429.56132369062948,875
429.99135432375476,883
430.421377271204,867
