Wavelength,Intensity
364.54181210327897,656
364.97293823223123,664
365.40405753246409,667
365.83516999828055,658
366.26627562398357,657
366.69737440387615,664
367.12846633226161,669
367.55955140344372,674
367.99062961172712,681
368.42170095141518,675
368.852765416813,663
369.28382300222535,688
369.71487370195695,672
370.14591751031389,680
370.57695442160144,659
371.00798443012582,680
371.43900753019284,675
371.87002371610936,651
372.30103298218205,672
372.73203532271816,677
373.16303073202516,667
373.59401920441036,677
374.025000734182,681
374.45597531564812,675
374.88694294311716,675
375.31790361089838,675
375.74885731330039,665
376.17980404463276,682
376.610743799205,667
377.04167657132712,675
377.47260235530973,669
377.90352114546289,672
378.33443293609719,672
378.76533772152425,665
379.19623549605541,675
379.62712625400189,683
380.05800998967612,675
380.48888669739011,660
380.91975637145651,675
381.35061900618791,675
381.78147459589792,673
382.21232313489952,656
382.64316461750622,673
383.07399903803275,673
383.50482639079257,665
383.93564667010088,672
384.36645987027214,664
384.79726598562195,683
385.22806501046523,672
385.65885693911804,675
386.0896417658962,682
386.52041948511646,672
386.95119009109527,672
387.38195357814942,683
387.81270994059611,665
388.24345917275315,675
388.67420126893796,680
389.10493622346888,672
389.53566403066429,675
389.966384684843,673
390.39709818032378,667
390.82780451142628,678
391.25850367246994,672
391.68919565777435,678
392.11988046165993,675
392.55055807844758,673
392.98122850245755,684
393.41189172801126,662
393.84254774942991,672
394.27319656103521,681
394.70383815714939,691
395.13447253209455,688
395.56509968019333,675
395.99571959576866,675
396.42633227314394,677
396.85693770664244,688
397.28753589058789,677
397.71812681930493,683
398.14871048711751,680
398.57928688835051,680
399.0098560173289,672
399.44041786837823,672
399.87097243582423,673
400.30151971399238,672
400.73205969720937,677
401.16259237980159,673
401.59311775609609,683
402.02363582041988,680
402.45414656710057,659
402.88464999046596,680
403.31514608484406,675
403.7456348445636,683
404.17611626395291,689
404.60659033734117,664
405.03705705905816,675
405.46751642343281,683
405.89796842479564,670
406.328413057477,673
406.75885031580708,675
407.1892801941172,679
407.61970268673826,683
408.05011778800196,681
408.48052549224025,683
408.91092579378488,680
409.341318686969,673
409.77170416612495,680
410.20208222558608,684
410.63245285968554,679
411.06281606275741,683
411.49317182913558,688
411.92352015315424,693
412.3538610291485,685
412.78419445145323,681
413.21452041440352,704
413.64483891233562,681
414.07514993958472,693
414.50545349048741,699
414.93574955938067,689
415.36603814060084,704
415.79631922848586,694
416.2265928173727,704
416.65685890159955,697
417.08711747550439,693
417.51736853342567,707
417.94761206970287,704
418.37784807867467,699
418.80807655468055,731
419.23829749206055,707
419.66851088515466,731
420.09871672830343,727
420.52891501584776,707
420.95910574212843,722
421.38928890148696,734
421.8194644882654,731
422.249632496806,752
422.6797929214506,733
423.109945756542,739
423.54009099642377,749
423.97022863543896,758
424.40035866793147,763
424.83048108824511,748
425.26059589072446,769
425.69070306971435,768
426.12080261955936,772
426.55089453460545,761
426.98097880919772,773
427.41105543768276,777
427.84112441440647,800
428.27118573371592,803
428.70123938995789,785
429.1312853774798,817
429.56132369062948,816
429.99135432375476,835
430.421377271204,817
430.85139252732591,814
431.28140008646955,813
431.71139994298409,835
432.14139209121987,840
432.57137652552586,848
433.00135324025342,832
433.43132222975237,843
433.86128348837445,840
434.29123701047052,830
434.72118279039279,851
435.15112082249289,853
435.58105110112342,840
436.01097362063672,850
436.44088837538624,840
436.87079535972509,864
437.30069456800732,851
437.73058599458648,851
438.16046963381763,873
438.59034548005496,857
439.02021352765388,840
439.45007377096982,869
439.87992620435813,839
440.30977082217538,870
440.73960761877788,841
441.16943658852233,867
441.59925772576588,877
442.02907102486608,857
442.45887648018072,848
442.88867408606791,851
443.31846383688628,856
443.74824572699464,851
444.17801975075184,864
444.60778590251812,850
445.03754417665283,859
