Wavelength,Intensity
364.54181210327897,657
364.97293823223123,665
365.40405753246409,662
365.83516999828055,684
366.26627562398357,672
366.69737440387615,681
367.12846633226161,679
367.55955140344372,677
367.99062961172712,672
368.42170095141518,678
368.852765416813,668
369.28382300222535,680
369.71487370195695,682
370.14591751031389,675
370.57695442160144,679
371.00798443012582,672
371.43900753019284,661
371.87002371610936,688
372.30103298218205,673
372.73203532271816,675
373.16303073202516,678
373.59401920441036,667
374.025000734182,681
374.45597531564812,683
374.88694294311716,669
375.31790361089838,677
375.74885731330039,681
376.17980404463276,672
376.610743799205,673
377.04167657132712,688
377.47260235530973,688
377.90352114546289,688
378.33443293609719,675
378.76533772152425,680
379.19623549605541,683
379.62712625400189,677
380.05800998967612,673
380.48888669739011,691
380.91975637145651,664
381.35061900618791,677
381.78147459589792,672
382.21232313489952,675
382.64316461750622,678
383.07399903803275,685
383.50482639079257,659
383.93564667010088,672
384.36645987027214,675
384.79726598562195,681
385.22806501046523,691
385.65885693911804,679
386.0896417658962,675
386.52041948511646,675
386.95119009109527,677
387.38195357814942,680
387.81270994059611,675
388.24345917275315,665
388.67420126893796,692
389.10493622346888,681
389.53566403066429,680
389.966384684843,688
390.39709818032378,685
390.82780451142628,680
391.25850367246994,688
391.68919565777435,675
392.11988046165993,683
392.55055807844758,683
392.98122850245755,667
393.41189172801126,688
393.84254774942991,681
394.27319656103521,685
394.70383815714939,683
395.13447253209455,688
395.56509968019333,696
395.99571959576866,691
396.42633227314394,694
396.85693770664244,678
397.28753589058789,697
397.71812681930493,688
398.14871048711751,688
398.57928688835051,688
399.0098560173289,682
399.44041786837823,680
399.87097243582423,681
400.30151971399238,681
400.73205969720937,689
401.16259237980159,704
401.59311775609609,689
402.02363582041988,694
402.45414656710057,696
402.88464999046596,694
403.31514608484406,696
403.7456348445636,691
404.17611626395291,695
404.60659033734117,696
405.03705705905816,692
405.46751642343281,696
405.89796842479564,694
406.328413057477,699
406.75885031580708,694
407.1892801941172,713
407.61970268673826,699
408.05011778800196,697
408.48052549224025,692
408.91092579378488,691
409.341318686969,696
409.77170416612495,691
410.20208222558608,704
410.63245285968554,694
411.06281606275741,700
411.49317182913558,691
411.92352015315424,704
412.3538610291485,700
412.78419445145323,681
413.21452041440352,711
413.64483891233562,691
414.07514993958472,691
414.50545349048741,696
414.93574955938067,688
415.36603814060084,696
415.79631922848586,696
416.2265928173727,705
416.65685890159955,699
417.08711747550439,704
417.51736853342567,717
417.94761206970287,704
418.37784807867467,711
418.80807655468055,713
419.23829749206055,715
419.66851088515466,712
420.09871672830343,707
420.52891501584776,723
420.95910574212843,727
421.38928890148696,717
421.8194644882654,725
422.249632496806,720
422.6797929214506,723
423.109945756542,715
423.54009099642377,723
423.97022863543896,729
424.40035866793147,736
424.83048108824511,736
425.26059589072446,736
425.69070306971435,757
426.12080261955936,720
426.55089453460545,752
426.98097880919772,747
427.41105543768276,741
427.84112441440647,746
428.27118573371592,745
428.70123938995789,739
429.1312853774798,753
429.56132369062948,738
429.99135432375476,742
430.421377271204,779
430.85139252732591,761
431.28140008646955,757
431.71139994298409,755
432.14139209121987,761
432.57137652552586,752
433.00135324025342,755
433.43132222975237,762
433.86128348837445,748
434.29123701047052,747
434.72118279039279,771
435.15112082249289,736
435.58105110112342,739
436.01097362063672,768
436.44088837538624,739
436.87079535972509,763
437.30069456800732,749
437.73058599458648,757
438.16046963381763,755
438.59034548005496,752
439.02021352765388,753
439.45007377096982,743
439.87992620435813,755
440.30977082217538,746
440.73960761877788,752
441.16943658852233,763
441.59925772576588,768
442.02907102486608,768
442.45887648018072,777
442.88867408606791,763
443.31846383688628,763
443.74824572699464,768
444.17801975075184,779
444.60778590251812,784
445.03754417665283,759
445.46729456751609,759
445.89703706946892,785
446.32677167687189,755
446.75649838408663,765
447.18621718547462,763
447.61592807539739,763
448.04563104821784,753
448.47532609829824,761
448.905013220002,762
449.33469240769188,779
449.7643636557321,771
450.19402695848663,752
450.62368231031974,771
451.05332970559613,771
451.48296913868109,763
451.91260060394,752
452.34222409573869,755
452.77183960844332,752
453.20144713642026,761
453.63104667403678,754
454.06063821565959,763
454.49022175565665,749
454.91979728839561,742
455.349364808245,776
455.7789243095732,753
456.20847578674943,745
456.63801923414275,755
457.0675546461232,764
457.49708201706062,752
457.92660134132564,771
458.35611261328864,747
458.78561582732107,747
459.21511097779444,768
459.64459805908041,768
460.07407706555131,777
460.50354799157941,771
460.93301083153813,755
461.36246557980047,779
461.79191223073997,771
462.2213507787306,777
462.65078121814707,784
463.08020354336384,784
463.50961774875594,775
463.93902382869891,809
464.36842177756864,800
464.79781158974112,784
465.22719325959287,803
465.65656678150123,816
466.08593214984268,792
466.5152893589954,800
466.94463840333731,825
467.37397927724635,827
467.80331197510185,821
468.23263649128239,821
468.66195282016781,832
469.09126095613743,807
469.52056089357194,827
469.94985262685162,828
470.37913615035717,822
470.80841145847023,841
471.23767854557241,832
471.66693740604563,819
472.09618803427225,816
472.525430424635,825
472.95466457151696,821
473.38389046930166,819
473.8131081123729,817
474.24231749511512,829
474.67151861191292,833
475.10071145715096,829
475.5298960252149,822
475.95907231049028,839
476.38824030736311,835
476.8174000102199,801
477.24655141344755,832
477.67569451143339,810
478.1048292985646,832
478.53395576922958,839
478.96307391781653,816
479.39218373871387,859
479.82128522631081,867
480.25037837499713,826
480.67946317916221,859
481.10853963319659,841
481.53760773149054,843
481.96666746843516,876
482.39571883842189,850
482.82476183584225,841
483.25379645508838,883
483.682822690553,849
484.11184053662868,873
484.54084998770855,899
484.9698510381865,896
485.39884368245657,905
485.82782791491252,915
486.25680372994992,913
486.68577112196317,904
487.1147300853483,934
487.543680614501,929
487.97262270381748,931
488.4015563476944,921
488.83048154052904,941
489.25939827671834,960
489.68830655066057,949
490.11720635675385,952
490.54609768939645,977
490.97498054298751,960
491.40385491192654,1009
491.832720790613,973
492.26157817344705,950
492.6904270548294,964
493.11926742916052,993
493.54809929084217,945
493.9769226342757,987
494.40573745386297,992
494.83454374400696,979
495.2633414991102,949
495.69213071357592,960
496.12091138180756,961
496.54968349820916,950
496.97844705718552,940
497.40720205314079,963
497.83594848048045,992
498.26468633361026,960
498.69341560693562,971
499.1221362948632,961
499.55084839179972,945
499.97955189215259,969
500.40824679032852,928
500.83693308073589,947
501.26561075778289,937
501.69427981587859,947
502.12294024943191,952
502.55159205285173,981
502.98023522054871,952
503.40886974693285,946
503.8374956264143,977
504.26611285340522,944
504.694721422316,971
505.12332132755915,944
505.55191256354624,966
505.98049512469083,971
506.40906900540517,961
506.83763420010337,960
507.26619070319873,955
507.69473850910555,969
