Wavelength,Intensity
364.54181210327897,662
364.97293823223123,672
365.40405753246409,659
365.83516999828055,681
366.26627562398357,673
366.69737440387615,672
367.12846633226161,675
367.55955140344372,667
367.99062961172712,672
368.42170095141518,677
368.852765416813,659
369.28382300222535,685
369.71487370195695,656
370.14591751031389,665
370.57695442160144,672
371.00798443012582,672
371.43900753019284,667
371.87002371610936,673
372.30103298218205,679
372.73203532271816,673
373.16303073202516,672
373.59401920441036,675
374.025000734182,667
374.45597531564812,675
374.88694294311716,681
375.31790361089838,672
375.74885731330039,673
376.17980404463276,672
376.610743799205,672
377.04167657132712,672
377.47260235530973,667
377.90352114546289,679
378.33443293609719,678
378.76533772152425,672
379.19623549605541,672
379.62712625400189,675
380.05800998967612,672
380.48888669739011,677
380.91975637145651,668
381.35061900618791,672
381.78147459589792,680
382.21232313489952,672
382.64316461750622,680
383.07399903803275,678
383.50482639079257,683
383.93564667010088,672
384.36645987027214,673
384.79726598562195,665
385.22806501046523,677
385.65885693911804,667
386.0896417658962,672
386.52041948511646,675
386.95119009109527,672
387.38195357814942,664
387.81270994059611,672
388.24345917275315,659
388.67420126893796,678
389.10493622346888,677
389.53566403066429,672
389.966384684843,672
390.39709818032378,683
390.82780451142628,664
391.25850367246994,675
391.68919565777435,675
392.11988046165993,672
392.55055807844758,679
392.98122850245755,672
393.41189172801126,667
393.84254774942991,673
394.27319656103521,677
394.70383815714939,675
395.13447253209455,675
395.56509968019333,676
395.99571959576866,680
396.42633227314394,682
396.85693770664244,664
397.28753589058789,673
397.71812681930493,673
398.14871048711751,672
398.57928688835051,681
399.0098560173289,672
399.44041786837823,664
399.87097243582423,681
400.30151971399238,661
400.73205969720937,668
401.16259237980159,667
401.59311775609609,672
402.02363582041988,672
402.45414656710057,677
402.88464999046596,672
403.31514608484406,688
403.7456348445636,667
404.17611626395291,666
404.60659033734117,675
405.03705705905816,665
405.46751642343281,677
405.89796842479564,667
406.328413057477,664
406.75885031580708,672
407.1892801941172,679
407.61970268673826,652
408.05011778800196,668
408.48052549224025,667
408.91092579378488,659
409.341318686969,672
409.77170416612495,683
410.20208222558608,657
410.63245285968554,684
411.06281606275741,672
411.49317182913558,657
411.92352015315424,672
412.3538610291485,675
412.78419445145323,667
413.21452041440352,678
413.64483891233562,669
414.07514993958472,668
414.50545349048741,673
414.93574955938067,656
415.36603814060084,677
415.79631922848586,685
416.2265928173727,677
416.65685890159955,673
417.08711747550439,656
417.51736853342567,666
417.94761206970287,680
418.37784807867467,664
418.80807655468055,672
419.23829749206055,665
419.66851088515466,675
420.09871672830343,673
420.52891501584776,665
420.95910574212843,673
421.38928890148696,673
421.8194644882654,680
422.249632496806,673
422.6797929214506,680
423.109945756542,680
423.54009099642377,673
423.97022863543896,677
424.40035866793147,667
424.83048108824511,675
425.26059589072446,680
425.69070306971435,681
426.12080261955936,661
426.55089453460545,680
426.98097880919772,675
427.41105543768276,675
427.84112441440647,680
428.27118573371592,658
428.70123938995789,675
429.1312853774798,683
429.56132369062948,665
429.99135432375476,681
430.421377271204,679
430.85139252732591,691
431.28140008646955,691
431.71139994298409,665
432.14139209121987,683
432.57137652552586,675
433.00135324025342,673
433.43132222975237,685
433.86128348837445,680
434.29123701047052,672
434.72118279039279,692
435.15112082249289,662
435.58105110112342,667
436.01097362063672,683
436.44088837538624,679
436.87079535972509,679
437.30069456800732,672
437.73058599458648,672
438.16046963381763,683
438.59034548005496,681
439.02021352765388,675
439.45007377096982,688
439.87992620435813,688
440.30977082217538,683
440.73960761877788,678
441.16943658852233,673
441.59925772576588,665
442.02907102486608,683
442.45887648018072,683
442.88867408606791,666
443.31846383688628,688
443.74824572699464,678
444.17801975075184,677
444.60778590251812,675
445.03754417665283,672
445.46729456751609,681
445.89703706946892,681
446.32677167687189,675
446.75649838408663,696
447.18621718547462,683
447.61592807539739,675
448.04563104821784,673
448.47532609829824,675
448.905013220002,672
449.33469240769188,693
449.7643636557321,658
450.19402695848663,675
450.62368231031974,688
451.05332970559613,660
451.48296913868109,683
451.91260060394,680
452.34222409573869,672
452.77183960844332,691
453.20144713642026,675
453.63104667403678,665
454.06063821565959,668
454.49022175565665,676
454.91979728839561,672
455.349364808245,673
455.7789243095732,666
456.20847578674943,679
456.63801923414275,675
457.0675546461232,667
457.49708201706062,675
457.92660134132564,675
458.35611261328864,672
458.78561582732107,683
459.21511097779444,665
459.64459805908041,679
460.07407706555131,681
460.50354799157941,680
460.93301083153813,667
461.36246557980047,677
461.79191223073997,673
462.2213507787306,672
462.65078121814707,686
463.08020354336384,680
463.50961774875594,688
463.93902382869891,675
464.36842177756864,672
464.79781158974112,673
465.22719325959287,679
465.65656678150123,665
466.08593214984268,684
466.5152893589954,664
466.94463840333731,672
467.37397927724635,679
467.80331197510185,673
468.23263649128239,680
468.66195282016781,675
469.09126095613743,673
469.52056089357194,679
469.94985262685162,683
470.37913615035717,677
470.80841145847023,675
471.23767854557241,683
471.66693740604563,667
472.09618803427225,680
472.525430424635,665
472.95466457151696,674
473.38389046930166,673
473.8131081123729,667
474.24231749511512,672
474.67151861191292,672
475.10071145715096,675
475.5298960252149,672
475.95907231049028,683
476.38824030736311,678
476.8174000102199,667
477.24655141344755,667
477.67569451143339,672
478.1048292985646,678
478.53395576922958,665
478.96307391781653,672
479.39218373871387,680
479.82128522631081,674
480.25037837499713,675
480.67946317916221,677
481.10853963319659,664
481.53760773149054,683
481.96666746843516,681
482.39571883842189,674
482.82476183584225,688
483.25379645508838,672
483.682822690553,673
484.11184053662868,681
484.54084998770855,667
484.9698510381865,679
485.39884368245657,683
485.82782791491252,679
486.25680372994992,672
486.68577112196317,675
487.1147300853483,675
487.543680614501,683
487.97262270381748,675
488.4015563476944,675
488.83048154052904,689
489.25939827671834,680
489.68830655066057,665
490.11720635675385,686
490.54609768939645,672
490.97498054298751,681
491.40385491192654,679
491.832720790613,675
492.26157817344705,667
492.6904270548294,679
493.11926742916052,677
493.54809929084217,678
493.9769226342757,675
494.40573745386297,672
494.83454374400696,675
495.2633414991102,668
495.69213071357592,678
496.12091138180756,677
496.54968349820916,691
496.97844705718552,680
497.40720205314079,689
497.83594848048045,667
498.26468633361026,677
498.69341560693562,688
499.1221362948632,661
499.55084839179972,673
499.97955189215259,688
500.40824679032852,677
500.83693308073589,688
501.26561075778289,673
501.69427981587859,675
502.12294024943191,683
502.55159205285173,675
502.98023522054871,675
503.40886974693285,680
503.8374956264143,681
504.26611285340522,680
504.694721422316,675
505.12332132755915,672
505.55191256354624,675
505.98049512469083,672
506.40906900540517,674
506.83763420010337,675
507.26619070319873,675
507.69473850910555,675
508.12327761223889,664
508.55180800701339,673
508.98032968784423,669
509.40884264914797,667
509.83734688534048,672
510.26584239083832,680
510.69432916005854,688
511.12280718741891,678
511.55127646733672,672
511.97973699423085,673
512.40818876251944,675
512.83663176662162,679
513.26506600095706,681
513.69349145994545,675
514.121908138007,673
514.55031602956262,681
514.97871512903362,667
515.40710543084049,682
515.835486929406,679
516.26385961915219,679
516.69222349450172,683
517.120578549878,664
517.54892477970361,674
517.97726217840352,672
518.405590740402,675
518.83391046012275,673
519.26222133199178,683
519.69052335043432,672
520.11881650987675,678
520.54710080474524,675
520.97537622946652,680
521.40364277846766,679
521.831900446176,677
522.26014922702052,682
522.68838911542832,673
523.11662010582961,688
523.54484219265271,673
523.97305537032764,683
524.40125963328421,684
524.829454975953,679
525.25764139276544,688
525.685818878152,678
526.11398742654467,667
526.54214703237631,667
526.97029769007827,672
527.39843939408468,665
527.82657213882817,681
528.25469591874264,674
528.68281072826278,677
529.11091656182259,689
529.53901341385767,667
529.967101278803,678
530.39518015109479,691
530.82325002517,672
531.25131089546369,688
531.67936275641409,681
532.107405602459,672
532.53543942803594,681
532.96346422758359,683
533.39147999554029,688
533.81948672634633,681
534.24748441443978,685
534.67547305426194,683
535.10345264025341,684
535.53142316685421,683
535.95938462850654,679
536.38733701965168,675
536.815280334732,691
537.24321456819064,683
537.6711397144694,679
538.099055768013,688
538.52696272326455,672
538.95486057466917,672
539.38274931667047,678
539.810628943715,688
540.23849945024722,683
540.6663608307133,680
541.09421307956063,696
541.522056191235,672
541.9498901601844,678
542.37771498085635,680
542.8055306476989,662
543.233337155161,675
543.66113449769148,688
544.08892266973965,681
544.516701665755,675
544.944471480189,670
545.37223210749153,683
545.799983542114,695
546.2277257785081,675
546.65545881112553,672
547.08318263441936,689
547.510897242842,663
547.938602630847,675
548.36629879288819,673
548.79398572341938,691
549.22166341689581,675
549.64933186777182,675
550.076991070504,672
550.50464101954674,676
550.93228170935777,672
551.35991313439365,672
551.78753528911125,681
552.21514816796844,673
552.64275176542333,677
553.07034607593437,681
553.49793109396046,675
553.92550681396165,689
554.35307323039717,688
554.7806303377273,686
555.20817813041356,677
555.63571660291632,681
556.06324574969778,677
556.49076556521948,691
556.91827604394416,672
557.345777180335,672
557.77326896885506,690
558.2007514039683,683
558.62822448013867,669
559.05568819183168,686
559.4831425335118,675
559.91058749964486,688
560.33802308469717,694
560.76544928313433,673
561.19286608942411,675
561.62027349803373,683
562.04767150343082,680
562.47506010008408,685
562.90243928246127,677
563.32980904503245,672
563.75716938226685,704
564.1845202886351,680
564.61186175860655,683
565.03919378665262,679
565.4665163672455,679
565.89382949485594,688
566.32113316395669,688
566.74842736902031,675
567.17571210452047,688
567.60298736493007,681
568.030253144724,675
568.45750943837618,688
568.88475624036153,688
569.3119935451557,683
569.739221347235,683
570.16643964107493,678
570.59364842115247,679
571.02084768194584,696
571.44803741793146,674
571.87521762358767,677
572.30238829339407,689
572.72954942182821,673
573.15670100337093,675
573.58384303250114,688
574.01097550369991,674
574.43809841144821,695
574.86521175022676,673
575.29231551451755,679
575.71940969880336,675
576.146494297566,675
576.57356930528886,681
577.000634716456,681
577.42769052555138,681
577.85473672705871,673
578.28177331546385,684
578.70880028525232,667
579.1358176309094,689
579.5628253469215,691
579.98982342777583,672
580.41681186795893,694
580.84379066195959,684
581.27075980426525,680
581.6977192893645,679
582.12466911174715,672
582.55160926590167,683
582.97853974631926,679
583.40546054748984,681
583.83237166390438,681
584.25927309005408,680
584.68616482043137,672
585.11304684952825,688
585.53991917183748,674
585.96678178185243,677
586.39363467406667,678
586.82047784297515,689
587.24731128307178,681
587.67413498885162,681
588.1009489548112,673
588.52775317544535,680
588.95454764525084,683
589.3813323587259,681
589.808107310367,678
590.23487249467178,688
590.66162790613885,683
591.08837353926788,682
591.51510938855756,681
591.9418354485075,678
592.36855171361844,683
592.79525817839112,675
593.22195483732651,672
593.64864168492613,688
594.07531871569279,682
594.50198592412869,678
594.92864330473719,688
595.3552908520212,672
595.78192856048577,697
596.20855642463471,684
596.63517443897331,673
597.0617825980064,688
597.48838089624076,681
597.91496932818325,672
598.341547888339,685
598.76811657121686,674
599.19467537132459,669
599.62122428316979,696
600.04776330126151,672
600.47429242010958,685
600.90081163422315,675
601.32732093811228,688
601.75382032628829,688
602.18030979326193,667
602.60678933354541,675
603.03325894165039,683
603.4597186120892,683
603.88616833937544,673
604.31260811802258,678
604.73903794254454,678
605.16545780745628,678
605.59186770727229,683
606.01826763650843,685
606.44465758968033,680
606.87103756130455,696
607.2974075458983,679
607.72376753797892,675
608.1501175320642,688
608.57645752267217,679
609.00278750432267,683
609.42910747153394,681
609.85541741882662,672
610.28171734072066,677
610.708007231737,688
611.13428708639731,688
611.56055689922243,683
611.98681666473522,654
612.41306637745868,683
612.83930603191538,685
613.26553562263007,688
613.69175514412586,682
614.11796459092807,697
614.54416395756164,679
614.97035323855221,691
615.39653242842587,674
615.82270152170975,675
616.24886051293106,688
616.67500939661693,688
617.10114816729526,679
617.52727681949523,689
617.95339534774587,679
618.37950374657657,679
618.8056020105173,679
619.2316901340987,678
619.65776811185265,683
620.08383593830933,688
620.50989360800213,680
620.9359411154627,684
621.3619784552244,681
621.78800562182073,672
622.21402260978562,693
622.64002941365379,681
623.06602602795988,680
623.49201244723963,681
623.91798866602937,663
624.34395467886566,679
624.76991048028492,690
625.19585606482462,681
625.62179142702291,681
626.04771656141929,680
626.47363146255134,688
626.89953612495879,681
627.32543054318216,683
627.75131471176178,672
628.17718862523873,685
628.60305227815365,688
629.02890566504948,678
629.45474878046866,688
629.88058161895367,685
630.30640417504821,688
630.73221644329658,688
631.15801841824293,675
631.58381009443178,683
632.0095914664098,694
632.43536252872173,679
632.861123275915,688
633.286873702536,679
633.71261380313331,688
634.13834357225312,679
634.56406300444564,681
634.989772094259,683
635.41547083624266,675
635.84115922494709,675
636.26683725492239,667
636.69250492072013,688
637.11816221689151,688
637.54380913798877,688
637.9694456785636,675
638.3950718331705,678
638.82068759636218,677
639.24629296269245,680
639.671887926717,679
640.09747248298982,685
640.52304662606718,685
640.94861035050417,673
641.37416365085915,682
641.799706521688,685
642.22523895754841,667
642.65076095299912,690
643.07627250259827,679
643.501773600905,683
643.92726424247962,683
644.352744421882,675
644.77821413367246,679
645.20367337241294,678
645.62912213266441,680
646.0545604089898,691
646.47998819595136,679
646.90540548811282,683
647.33081228003789,683
647.75620856629041,681
648.18159434143547,672
648.60696960003872,681
649.032334336666,672
649.45768854588312,685
649.88303222225761,675
650.30836536035645,677
650.73368795474744,699
651.15899999999988,683
651.58430149068181,681
652.009592421363,672
652.43487278661382,677
652.8601425810042,677
653.28540179910578,693
653.7106504354889,680
654.13588848472727,688
654.56111594139247,688
654.98633280005811,681
655.41153905529745,683
655.83673470168492,690
656.26191973379468,688
656.68709414620275,683
657.11225793348444,688
657.5374110902153,691
657.96255361097371,688
658.38768549033568,691
658.8128067228796,667
659.23791730318317,689
659.6630172258258,672
660.08810648538679,704
660.51318507644658,679
660.93825299358423,675
661.36331023138189,683
661.78835678442135,675
662.2133926472834,681
662.63841781455119,668
663.06343228080812,691
663.488436040637,675
663.91342908862271,685
664.33841141934977,672
664.763383027403,672
665.18834390736856,683
665.61329405383231,680
666.03823346138108,669
666.463162124603,681
666.88808003808481,683
667.31298719641472,679
667.7378835941829,679
668.16276922597785,685
668.58764408638979,677
669.0125081700088,677
669.43736147142681,677
669.86220398523449,683
670.28703570602477,688
670.71185662838934,688
671.136666746922,675
671.56146605621586,677
671.98625455086608,675
672.41103222546633,678
672.83579907461274,691
673.26055509290109,673
673.68530027492716,675
674.11003461528821,690
674.53475810858163,679
674.9594707494058,680
675.38417253235855,675
675.80886345203965,678
676.23354350304771,683
676.65821267998388,669
677.08287097744812,675
677.507518390042,682
677.9321549123672,662
678.3567805390262,678
678.78139526462144,674
679.20599908375607,683
679.63059199103452,681
680.055173981061,679
680.479745048441,672
680.9043051877793,682
681.3288543936826,675
681.7533926607565,667
682.17791998360963,672
682.60243635684856,672
683.0269417750817,680
683.45143623291824,675
683.87591972496682,678
684.30039224583811,681
684.72485379014245,675
685.14930435249016,679
685.57374392749318,675
685.998172509764,683
686.42259009391421,683
686.846996674557,683
687.27139224630719,688
687.69577680377824,680
688.12015034158514,683
688.54451285434277,693
688.96886433666748,679
689.39320478317586,672
689.81753418848439,675
690.24185254721044,672
690.66615985397266,689
691.0904561033899,675
691.51474129008034,679
691.93901540866455,681
692.3632784537624,683
692.787530419995,683
693.2117713019835,675
693.63600109435,685
694.06021979171658,684
694.48442738870654,678
694.90862387994389,672
695.33280926005216,681
695.75698352365646,673
696.18114666538133,673
696.60529867985338,685
697.02943956169884,672
697.45356930554374,689
697.877687906017,684
698.3017953577455,678
698.72589165535828,667
699.14997679348448,672
699.57405076675343,685
699.99811356979581,688
700.42216519724218,677
700.84620564372392,678
701.270234903873,688
701.69425297232192,675
702.11825984370353,672
702.54225551265165,686
702.96623997380038,685
703.39021322178451,675
703.81417525123936,688
704.23812605680007,675
704.66206563310357,680
705.0859939747869,689
705.50991107648747,673
705.93381693284346,675
706.35771153849362,683
706.78159488807648,675
707.205466976232,683
707.62932779760115,680
708.05317734682444,680
708.47701561854331,683
708.90084260739934,672
709.32465830803574,675
709.74846271509534,686
710.17225582322214,672
710.59603762705979,685
711.01980812125362,665
711.44356730044876,675
711.86731515929159,691
712.29105169242837,675
712.7147768945066,673
713.13849076017289,680
713.56219328407622,668
713.98588446086546,683
714.40956428518984,673
714.83323275169948,672
715.25688985504473,675
715.68053558987606,693
716.1041699508462,672
716.527792932607,681
716.95140452981036,677
717.375004737111,675
717.79859354916209,689
718.222170960618,673
718.64573696613456,681
719.06929156036642,680
719.4928347379705,672
719.91636649360316,672
720.33988682192228,688
720.76339571758535,675
721.18689317525093,669
721.610379189578,688
722.03385375522646,673
722.45731686685667,680
722.88076851912876,683
723.30420870670491,675
723.7276374242465,688
724.15105466641592,667
724.57446042787763,672
724.997854703293,681
725.42123748732831,659
