Wavelength,Intensity
364.54181210327897,664
364.97293823223123,667
365.40405753246409,672
365.83516999828055,683
366.26627562398357,685
366.69737440387615,674
367.12846633226161,685
367.55955140344372,683
367.99062961172712,688
368.42170095141518,685
368.852765416813,688
369.28382300222535,672
369.71487370195695,688
370.14591751031389,688
370.57695442160144,688
371.00798443012582,678
371.43900753019284,681
371.87002371610936,686
372.30103298218205,684
372.73203532271816,683
373.16303073202516,691
373.59401920441036,673
374.025000734182,681
374.45597531564812,688
374.88694294311716,696
375.31790361089838,689
375.74885731330039,681
376.17980404463276,688
376.610743799205,685
377.04167657132712,691
377.47260235530973,697
377.90352114546289,680
378.33443293609719,699
378.76533772152425,694
379.19623549605541,696
379.62712625400189,691
380.05800998967612,688
380.48888669739011,688
380.91975637145651,699
381.35061900618791,681
381.78147459589792,694
382.21232313489952,712
382.64316461750622,685
383.07399903803275,691
383.50482639079257,691
383.93564667010088,688
384.36645987027214,688
384.79726598562195,689
385.22806501046523,685
385.65885693911804,704
386.0896417658962,696
386.52041948511646,697
386.95119009109527,701
387.38195357814942,697
387.81270994059611,699
388.24345917275315,696
388.67420126893796,693
389.10493622346888,704
389.53566403066429,711
389.966384684843,697
390.39709818032378,700
390.82780451142628,704
391.25850367246994,713
391.68919565777435,691
392.11988046165993,710
392.55055807844758,704
392.98122850245755,713
393.41189172801126,704
393.84254774942991,715
394.27319656103521,707
394.70383815714939,710
395.13447253209455,713
395.56509968019333,717
395.99571959576866,723
396.42633227314394,721
396.85693770664244,732
397.28753589058789,721
397.71812681930493,739
398.14871048711751,726
398.57928688835051,720
399.0098560173289,736
399.44041786837823,718
399.87097243582423,736
400.30151971399238,736
400.73205969720937,737
401.16259237980159,752
401.59311775609609,747
402.02363582041988,729
402.45414656710057,737
402.88464999046596,737
403.31514608484406,737
403.7456348445636,736
404.17611626395291,742
404.60659033734117,752
405.03705705905816,744
405.46751642343281,723
405.89796842479564,763
406.328413057477,748
406.75885031580708,744
407.1892801941172,729
407.61970268673826,756
408.05011778800196,748
408.48052549224025,761
408.91092579378488,743
409.341318686969,758
409.77170416612495,758
410.20208222558608,761
410.63245285968554,747
411.06281606275741,760
411.49317182913558,768
411.92352015315424,747
412.3538610291485,776
412.78419445145323,769
413.21452041440352,755
413.64483891233562,768
414.07514993958472,752
414.50545349048741,775
414.93574955938067,763
415.36603814060084,764
415.79631922848586,771
416.2265928173727,769
416.65685890159955,771
417.08711747550439,776
417.51736853342567,773
417.94761206970287,788
418.37784807867467,785
418.80807655468055,777
419.23829749206055,762
419.66851088515466,784
420.09871672830343,763
420.52891501584776,779
420.95910574212843,757
421.38928890148696,761
421.8194644882654,795
422.249632496806,769
422.6797929214506,755
423.109945756542,776
423.54009099642377,784
423.97022863543896,759
424.40035866793147,793
424.83048108824511,780
425.26059589072446,769
425.69070306971435,777
426.12080261955936,763
426.55089453460545,777
426.98097880919772,784
427.41105543768276,778
427.84112441440647,792
428.27118573371592,777
428.70123938995789,794
429.1312853774798,795
429.56132369062948,769
429.99135432375476,785
430.421377271204,805
430.85139252732591,780
431.28140008646955,800
431.71139994298409,795
432.14139209121987,784
432.57137652552586,793
433.00135324025342,792
433.43132222975237,787
433.86128348837445,792
434.29123701047052,785
434.72118279039279,782
435.15112082249289,803
435.58105110112342,789
436.01097362063672,795
436.44088837538624,795
436.87079535972509,779
437.30069456800732,795
437.73058599458648,785
438.16046963381763,791
438.59034548005496,791
439.02021352765388,800
439.45007377096982,787
439.87992620435813,795
440.30977082217538,805
440.73960761877788,784
441.16943658852233,803
441.59925772576588,802
442.02907102486608,817
442.45887648018072,809
442.88867408606791,817
443.31846383688628,809
443.74824572699464,795
444.17801975075184,797
444.60778590251812,807
445.03754417665283,808
445.46729456751609,802
445.89703706946892,809
446.32677167687189,787
446.75649838408663,808
447.18621718547462,787
447.61592807539739,793
448.04563104821784,795
448.47532609829824,800
448.905013220002,793
449.33469240769188,817
449.7643636557321,817
450.19402695848663,805
450.62368231031974,803
451.05332970559613,811
451.48296913868109,784
451.91260060394,832
452.34222409573869,811
452.77183960844332,809
453.20144713642026,808
453.63104667403678,790
454.06063821565959,835
454.49022175565665,811
454.91979728839561,800
455.349364808245,803
455.7789243095732,800
456.20847578674943,816
456.63801923414275,800
457.0675546461232,808
457.49708201706062,813
457.92660134132564,801
458.35611261328864,806
458.78561582732107,793
459.21511097779444,802
459.64459805908041,807
460.07407706555131,805
460.50354799157941,787
460.93301083153813,803
461.36246557980047,821
461.79191223073997,819
462.2213507787306,789
462.65078121814707,792
463.08020354336384,813
463.50961774875594,787
463.93902382869891,808
464.36842177756864,806
464.79781158974112,792
465.22719325959287,801
465.65656678150123,801
466.08593214984268,813
466.5152893589954,843
466.94463840333731,824
467.37397927724635,803
467.80331197510185,826
468.23263649128239,805
468.66195282016781,832
469.09126095613743,833
469.52056089357194,806
469.94985262685162,824
470.37913615035717,833
470.80841145847023,833
471.23767854557241,841
471.66693740604563,840
472.09618803427225,851
472.525430424635,824
472.95466457151696,849
473.38389046930166,832
473.8131081123729,841
474.24231749511512,857
474.67151861191292,843
475.10071145715096,844
475.5298960252149,867
475.95907231049028,841
476.38824030736311,849
476.8174000102199,835
477.24655141344755,848
477.67569451143339,871
478.1048292985646,851
478.53395576922958,832
478.96307391781653,864
479.39218373871387,848
479.82128522631081,867
480.25037837499713,864
480.67946317916221,859
481.10853963319659,873
481.53760773149054,875
481.96666746843516,864
482.39571883842189,851
482.82476183584225,859
483.25379645508838,865
483.682822690553,827
484.11184053662868,845
484.54084998770855,883
484.9698510381865,861
485.39884368245657,856
485.82782791491252,841
486.25680372994992,864
486.68577112196317,865
487.1147300853483,855
487.543680614501,856
487.97262270381748,857
488.4015563476944,851
488.83048154052904,866
489.25939827671834,867
489.68830655066057,861
490.11720635675385,887
490.54609768939645,864
490.97498054298751,848
491.40385491192654,875
491.832720790613,883
492.26157817344705,896
492.6904270548294,883
493.11926742916052,875
493.54809929084217,871
493.9769226342757,886
494.40573745386297,907
494.83454374400696,883
