Wavelength,Intensity
364.54181210327897,656
364.97293823223123,659
365.40405753246409,672
365.83516999828055,657
366.26627562398357,685
366.69737440387615,667
367.12846633226161,656
367.55955140344372,680
367.99062961172712,685
368.42170095141518,678
368.852765416813,675
369.28382300222535,672
369.71487370195695,674
370.14591751031389,675
370.57695442160144,673
371.00798443012582,675
371.43900753019284,681
371.87002371610936,664
372.30103298218205,681
372.73203532271816,683
373.16303073202516,669
373.59401920441036,683
374.025000734182,681
374.45597531564812,669
374.88694294311716,688
375.31790361089838,669
375.74885731330039,665
376.17980404463276,681
376.610743799205,672
377.04167657132712,677
377.47260235530973,690
377.90352114546289,679
378.33443293609719,678
378.76533772152425,695
379.19623549605541,683
379.62712625400189,678
380.05800998967612,677
380.48888669739011,669
380.91975637145651,688
381.35061900618791,667
381.78147459589792,672
382.21232313489952,691
382.64316461750622,689
383.07399903803275,685
383.50482639079257,683
383.93564667010088,680
384.36645987027214,688
384.79726598562195,683
385.22806501046523,667
385.65885693911804,684
386.0896417658962,688
386.52041948511646,672
386.95119009109527,689
387.38195357814942,672
387.81270994059611,683
388.24345917275315,685
388.67420126893796,665
389.10493622346888,675
389.53566403066429,691
389.966384684843,675
390.39709818032378,688
390.82780451142628,697
391.25850367246994,675
391.68919565777435,691
392.11988046165993,696
392.55055807844758,673
392.98122850245755,696
393.41189172801126,683
393.84254774942991,688
394.27319656103521,704
394.70383815714939,674
395.13447253209455,699
395.56509968019333,679
395.99571959576866,680
396.42633227314394,681
396.85693770664244,691
397.28753589058789,685
397.71812681930493,707
398.14871048711751,683
398.57928688835051,688
399.0098560173289,715
399.44041786837823,684
399.87097243582423,704
400.30151971399238,697
400.73205969720937,693
401.16259237980159,697
401.59311775609609,704
402.02363582041988,688
402.45414656710057,695
402.88464999046596,699
403.31514608484406,691
403.7456348445636,707
404.17611626395291,704
404.60659033734117,694
405.03705705905816,710
405.46751642343281,696
405.89796842479564,700
406.328413057477,712
406.75885031580708,707
407.1892801941172,704
407.61970268673826,717
408.05011778800196,718
408.48052549224025,714
408.91092579378488,728
409.341318686969,707
409.77170416612495,715
410.20208222558608,698
410.63245285968554,698
411.06281606275741,712
411.49317182913558,709
411.92352015315424,713
412.3538610291485,728
412.78419445145323,705
413.21452041440352,718
413.64483891233562,721
414.07514993958472,720
414.50545349048741,720
414.93574955938067,726
415.36603814060084,715
415.79631922848586,728
416.2265928173727,728
416.65685890159955,736
417.08711747550439,736
417.51736853342567,731
417.94761206970287,736
418.37784807867467,728
418.80807655468055,742
419.23829749206055,741
419.66851088515466,739
420.09871672830343,743
420.52891501584776,757
420.95910574212843,742
421.38928890148696,742
421.8194644882654,743
422.249632496806,739
422.6797929214506,761
423.109945756542,763
423.54009099642377,757
423.97022863543896,757
424.40035866793147,784
424.83048108824511,761
425.26059589072446,757
425.69070306971435,768
426.12080261955936,800
426.55089453460545,787
426.98097880919772,786
427.41105543768276,771
427.84112441440647,789
428.27118573371592,795
428.70123938995789,786
429.1312853774798,801
429.56132369062948,808
429.99135432375476,805
430.421377271204,825
430.85139252732591,801
431.28140008646955,816
431.71139994298409,809
432.14139209121987,808
432.57137652552586,816
433.00135324025342,816
433.43132222975237,807
433.86128348837445,817
434.29123701047052,821
434.72118279039279,814
435.15112082249289,813
435.58105110112342,816
436.01097362063672,824
436.44088837538624,811
436.87079535972509,808
437.30069456800732,800
437.73058599458648,811
438.16046963381763,819
438.59034548005496,809
439.02021352765388,816
439.45007377096982,817
439.87992620435813,822
440.30977082217538,806
440.73960761877788,816
441.16943658852233,821
441.59925772576588,843
442.02907102486608,829
442.45887648018072,821
442.88867408606791,827
443.31846383688628,827
443.74824572699464,835
444.17801975075184,838
444.60778590251812,843
445.03754417665283,848
445.46729456751609,845
445.89703706946892,857
446.32677167687189,857
446.75649838408663,867
447.18621718547462,835
447.61592807539739,851
448.04563104821784,851
448.47532609829824,841
448.905013220002,832
449.33469240769188,832
449.7643636557321,833
450.19402695848663,837
450.62368231031974,856
451.05332970559613,848
451.48296913868109,849
451.91260060394,841
452.34222409573869,835
452.77183960844332,835
453.20144713642026,827
453.63104667403678,832
454.06063821565959,832
454.49022175565665,817
454.91979728839561,821
455.349364808245,809
455.7789243095732,819
456.20847578674943,825
456.63801923414275,803
457.0675546461232,832
457.49708201706062,819
457.92660134132564,823
458.35611261328864,825
458.78561582732107,820
459.21511097779444,832
459.64459805908041,849
460.07407706555131,840
460.50354799157941,859
460.93301083153813,851
461.36246557980047,849
461.79191223073997,853
462.2213507787306,842
462.65078121814707,851
463.08020354336384,880
463.50961774875594,864
463.93902382869891,875
464.36842177756864,885
464.79781158974112,904
465.22719325959287,884
465.65656678150123,887
466.08593214984268,920
466.5152893589954,913
466.94463840333731,914
467.37397927724635,947
467.80331197510185,937
468.23263649128239,937
468.66195282016781,953
469.09126095613743,963
469.52056089357194,948
469.94985262685162,952
470.37913615035717,945
470.80841145847023,954
471.23767854557241,947
471.66693740604563,992
472.09618803427225,966
472.525430424635,955
472.95466457151696,947
473.38389046930166,960
473.8131081123729,936
474.24231749511512,952
474.67151861191292,947
475.10071145715096,953
475.5298960252149,966
475.95907231049028,928
476.38824030736311,949
476.8174000102199,939
477.24655141344755,936
477.67569451143339,944
478.1048292985646,915
478.53395576922958,945
478.96307391781653,940
479.39218373871387,960
479.82128522631081,960
480.25037837499713,951
480.67946317916221,957
481.10853963319659,987
481.53760773149054,961
481.96666746843516,966
482.39571883842189,992
482.82476183584225,971
483.25379645508838,1005
483.682822690553,1008
484.11184053662868,1003
484.54084998770855,1017
484.9698510381865,1035
485.39884368245657,1064
485.82782791491252,1073
486.25680372994992,1065
486.68577112196317,1067
487.1147300853483,1088
487.543680614501,1094
487.97262270381748,1105
488.4015563476944,1145
488.83048154052904,1168
489.25939827671834,1163
489.68830655066057,1168
490.11720635675385,1187
490.54609768939645,1192
490.97498054298751,1192
491.40385491192654,1160
491.832720790613,1193
492.26157817344705,1222
492.6904270548294,1177
493.11926742916052,1184
493.54809929084217,1222
493.9769226342757,1235
494.40573745386297,1223
494.83454374400696,1235
495.2633414991102,1205
495.69213071357592,1235
496.12091138180756,1200
496.54968349820916,1205
496.97844705718552,1195
497.40720205314079,1192
497.83594848048045,1225
498.26468633361026,1220
498.69341560693562,1169
499.1221362948632,1189
499.55084839179972,1195
499.97955189215259,1185
500.40824679032852,1173
500.83693308073589,1176
501.26561075778289,1154
501.69427981587859,1219
502.12294024943191,1200
502.55159205285173,1181
502.98023522054871,1201
503.40886974693285,1203
503.8374956264143,1200
504.26611285340522,1243
504.694721422316,1211
505.12332132755915,1194
505.55191256354624,1219
505.98049512469083,1227
506.40906900540517,1227
506.83763420010337,1244
507.26619070319873,1240
507.69473850910555,1221
508.12327761223889,1240
508.55180800701339,1232
508.98032968784423,1257
509.40884264914797,1267
509.83734688534048,1227
510.26584239083832,1216
510.69432916005854,1200
511.12280718741891,1204
511.55127646733672,1184
511.97973699423085,1184
512.40818876251944,1153
512.83663176662162,1193
513.26506600095706,1148
513.69349145994545,1123
514.121908138007,1129
514.55031602956262,1113
514.97871512903362,1091
515.40710543084049,1077
515.835486929406,1064
516.26385961915219,1104
516.69222349450172,1066
517.120578549878,1024
517.54892477970361,1045
517.97726217840352,1016
518.405590740402,987
518.83391046012275,1019
519.26222133199178,972
519.69052335043432,992
520.11881650987675,952
520.54710080474524,944
520.97537622946652,960
521.40364277846766,933
521.831900446176,949
522.26014922702052,969
522.68838911542832,926
523.11662010582961,933
523.54484219265271,925
523.97305537032764,899
524.40125963328421,915
524.829454975953,915
525.25764139276544,889
525.685818878152,918
526.11398742654467,896
526.54214703237631,883
526.97029769007827,896
527.39843939408468,912
527.82657213882817,887
528.25469591874264,904
528.68281072826278,896
529.11091656182259,872
529.53901341385767,890
529.967101278803,905
530.39518015109479,912
530.82325002517,899
531.25131089546369,896
531.67936275641409,896
532.107405602459,899
532.53543942803594,888
532.96346422758359,908
533.39147999554029,897
533.81948672634633,903
534.24748441443978,923
534.67547305426194,931
535.10345264025341,912
535.53142316685421,909
535.95938462850654,944
536.38733701965168,928
536.815280334732,953
537.24321456819064,934
537.6711397144694,961
538.099055768013,957
538.52696272326455,960
538.95486057466917,985
539.38274931667047,984
539.810628943715,1008
540.23849945024722,977
540.6663608307133,987
541.09421307956063,1025
541.522056191235,1029
541.9498901601844,1024
542.37771498085635,1041
542.8055306476989,1059
543.233337155161,1056
543.66113449769148,1089
544.08892266973965,1088
544.516701665755,1115
544.944471480189,1069
545.37223210749153,1105
545.799983542114,1099
546.2277257785081,1128
546.65545881112553,1121
547.08318263441936,1126
547.510897242842,1129
547.938602630847,1096
548.36629879288819,1145
548.79398572341938,1131
549.22166341689581,1139
549.64933186777182,1139
550.076991070504,1133
550.50464101954674,1144
550.93228170935777,1136
551.35991313439365,1136
551.78753528911125,1147
552.21514816796844,1133
552.64275176542333,1127
553.07034607593437,1132
553.49793109396046,1115
553.92550681396165,1110
554.35307323039717,1081
554.7806303377273,1104
555.20817813041356,1056
555.63571660291632,1072
556.06324574969778,1045
556.49076556521948,1033
556.91827604394416,1047
557.345777180335,1029
557.77326896885506,1024
558.2007514039683,1027
558.62822448013867,979
559.05568819183168,1013
559.4831425335118,1032
559.91058749964486,996
560.33802308469717,1003
560.76544928313433,1009
561.19286608942411,966
561.62027349803373,976
562.04767150343082,971
562.47506010008408,977
562.90243928246127,989
563.32980904503245,999
563.75716938226685,1016
564.1845202886351,985
564.61186175860655,976
565.03919378665262,974
565.4665163672455,955
565.89382949485594,965
566.32113316395669,955
566.74842736902031,977
567.17571210452047,982
567.60298736493007,965
568.030253144724,973
568.45750943837618,972
568.88475624036153,963
569.3119935451557,992
569.739221347235,976
570.16643964107493,983
570.59364842115247,992
571.02084768194584,961
571.44803741793146,986
571.87521762358767,984
572.30238829339407,992
572.72954942182821,1024
573.15670100337093,994
573.58384303250114,1005
574.01097550369991,1008
574.43809841144821,995
574.86521175022676,1027
575.29231551451755,1052
575.71940969880336,1011
576.146494297566,1067
576.57356930528886,1033
577.000634716456,1067
577.42769052555138,1051
577.85473672705871,1041
578.28177331546385,1045
578.70880028525232,1079
579.1358176309094,1104
579.5628253469215,1115
579.98982342777583,1082
580.41681186795893,1131
580.84379066195959,1099
581.27075980426525,1129
581.6977192893645,1113
582.12466911174715,1139
582.55160926590167,1148
582.97853974631926,1121
583.40546054748984,1175
583.83237166390438,1153
584.25927309005408,1160
584.68616482043137,1203
585.11304684952825,1195
585.53991917183748,1203
585.96678178185243,1192
586.39363467406667,1187
586.82047784297515,1185
587.24731128307178,1227
587.67413498885162,1200
588.1009489548112,1201
588.52775317544535,1232
588.95454764525084,1208
589.3813323587259,1219
589.808107310367,1232
590.23487249467178,1219
590.66162790613885,1240
591.08837353926788,1207
591.51510938855756,1209
591.9418354485075,1216
592.36855171361844,1211
592.79525817839112,1225
593.22195483732651,1197
593.64864168492613,1179
594.07531871569279,1229
594.50198592412869,1235
594.92864330473719,1179
595.3552908520212,1216
595.78192856048577,1187
596.20855642463471,1187
596.63517443897331,1196
597.0617825980064,1206
597.48838089624076,1152
597.91496932818325,1201
598.341547888339,1184
598.76811657121686,1192
599.19467537132459,1193
599.62122428316979,1216
600.04776330126151,1200
600.47429242010958,1201
600.90081163422315,1181
601.32732093811228,1187
601.75382032628829,1185
602.18030979326193,1190
602.60678933354541,1191
603.03325894165039,1193
603.4597186120892,1213
603.88616833937544,1187
604.31260811802258,1207
604.73903794254454,1216
605.16545780745628,1200
605.59186770727229,1227
606.01826763650843,1224
606.44465758968033,1272
606.87103756130455,1248
607.2974075458983,1237
607.72376753797892,1240
608.1501175320642,1271
608.57645752267217,1235
609.00278750432267,1321
609.42910747153394,1312
609.85541741882662,1315
610.28171734072066,1356
610.708007231737,1363
611.13428708639731,1386
611.56055689922243,1355
611.98681666473522,1383
612.41306637745868,1427
612.83930603191538,1443
613.26553562263007,1408
613.69175514412586,1473
614.11796459092807,1496
614.54416395756164,1481
614.97035323855221,1584
615.39653242842587,1624
615.82270152170975,1634
616.24886051293106,1622
616.67500939661693,1683
617.10114816729526,1704
617.52727681949523,1745
617.95339534774587,1728
618.37950374657657,1840
618.8056020105173,1776
619.2316901340987,1851
619.65776811185265,1880
620.08383593830933,1904
620.50989360800213,1957
620.9359411154627,2000
621.3619784552244,1947
621.78800562182073,2067
622.21402260978562,2088
622.64002941365379,2170
623.06602602795988,2149
623.49201244723963,2131
623.91798866602937,2217
624.34395467886566,2211
624.76991048028492,2268
625.19585606482462,2331
625.62179142702291,2289
626.04771656141929,2324
626.47363146255134,2301
626.89953612495879,2337
627.32543054318216,2352
627.75131471176178,2360
628.17718862523873,2313
628.60305227815365,2385
629.02890566504948,2400
629.45474878046866,2352
629.88058161895367,2361
630.30640417504821,2375
630.73221644329658,2313
631.15801841824293,2364
631.58381009443178,2307
632.0095914664098,2315
632.43536252872173,2281
632.861123275915,2267
633.286873702536,2216
633.71261380313331,2208
634.13834357225312,2233
634.56406300444564,2193
634.989772094259,2199
635.41547083624266,2185
635.84115922494709,2163
636.26683725492239,2121
636.69250492072013,2054
637.11816221689151,2112
637.54380913798877,2085
637.9694456785636,2073
638.3950718331705,2054
638.82068759636218,2049
639.24629296269245,1995
639.671887926717,2003
640.09747248298982,1960
640.52304662606718,1969
640.94861035050417,1920
641.37416365085915,1957
641.799706521688,1894
642.22523895754841,1878
642.65076095299912,1867
643.07627250259827,1881
643.501773600905,1857
643.92726424247962,1841
644.352744421882,1782
644.77821413367246,1806
645.20367337241294,1768
645.62912213266441,1777
646.0545604089898,1777
646.47998819595136,1748
646.90540548811282,1802
647.33081228003789,1699
647.75620856629041,1734
648.18159434143547,1683
648.60696960003872,1705
649.032334336666,1697
649.45768854588312,1656
649.88303222225761,1648
650.30836536035645,1683
650.73368795474744,1664
651.15899999999988,1619
651.58430149068181,1643
652.009592421363,1653
652.43487278661382,1576
652.8601425810042,1568
653.28540179910578,1627
653.7106504354889,1568
654.13588848472727,1601
654.56111594139247,1592
654.98633280005811,1632
655.41153905529745,1593
655.83673470168492,1532
656.26191973379468,1575
656.68709414620275,1577
657.11225793348444,1506
657.5374110902153,1579
657.96255361097371,1592
658.38768549033568,1529
658.8128067228796,1547
659.23791730318317,1528
659.6630172258258,1496
660.08810648538679,1520
660.51318507644658,1511
660.93825299358423,1520
