Wavelength,Intensity
364.50560780846394,777
364.93673421662584,803
365.36785379614781,769
365.79896654133267,781
366.23007244648323,787
366.66117150590264,798
367.0922637138944,787
367.52334906476187,774
367.95442755281,787
368.38549917234195,817
368.81656391766307,792
369.24762178307776,793
369.67867276289127,816
370.10971685140913,806
370.54075404293695,803
370.97178433178078,807
371.4028077122465,803
371.833824178641,814
372.26483372527082,785
372.69583634644334,790
373.12683203646577,803
373.5578207896458,800
373.98880260029154,816
374.41977746271078,808
374.85074537121244,821
375.28170632010512,805
375.7126603036981,800
376.14360731630029,803
376.574547352222,803
377.00548040577246,807
377.43640647126267,811
377.86732554300244,809
378.2982376153027,832
378.72914268247496,800
379.16004073883033,809
379.59093177868039,811
380.02181579633719,807
380.45269278611295,800
380.88356274232018,812
381.31442565927176,803
381.74528153128074,835
382.17613035266072,819
382.60697211772481,810
383.03780682078792,816
383.4686344561635,816
383.89945501816663,816
384.33026850111185,822
384.76107489931468,819
385.19187420709017,819
385.62266641875436,835
386.05345152862293,817
386.48422953101283,822
386.91500042024006,811
387.34576419062176,816
387.7765208364753,839
388.20727035211814,817
388.63801273186783,823
389.06874797004275,816
389.4994760609614,843
389.93019699894217,841
390.36091077830423,816
390.79161739336718,819
391.22231683845007,832
391.65300910787278,826
392.08369419595584,856
392.51437209701982,849
392.94504280538547,852
393.37570631537369,825
393.80636262130582,842
394.23701171750372,853
394.66765359828963,834
395.09828825798547,821
395.52891569091383,851
395.95953589139793,848
396.390148853761,819
396.82075457232605,864
397.25135304141736,832
397.68194425535904,856
398.11252820847523,864
398.54310489509089,851
398.97367430953108,854
399.40423644612088,854
399.83479129918658,865
400.26533886305339,875
400.69587913204788,878
401.12641210049668,853
401.55693776272653,864
401.9874561130647,859
402.41796714583893,880
402.84847085537649,880
403.278967236006,859
403.70945628205573,870
404.1399379878543,880
404.57041234773061,883
405.00087935601448,886
405.43133900703521,885
405.86179129512294,896
406.292236214608,867
406.72267375982062,880
407.15310392509235,889
407.583526704754,886
408.01394209313708,893
408.44435008457361,907
408.87475067339568,907
409.30514385393565,906
409.73552962052668,913
410.16590796750148,899
410.59627888919374,917
411.02664237993713,913
411.45699843406584,922
411.88734704591394,937
412.3176882098162,919
412.748021920108,939
413.17834817112413,919
413.60866695720091,931
414.03897827267355,949
414.46928211187878,951
414.8995784691532,957
415.32986733883359,962
415.76014871525717,962
416.19042259276188,963
416.62068896568519,948
417.05094782836557,983
417.48119917514094,977
417.91144300035114,960
418.34167929833467,960
418.77190806343111,992
419.20212928998041,966
419.63234297232276,987
420.06254910479845,976
420.49274768174831,976
420.9229386975133,1004
421.35312214643528,1025
421.78329802285572,1008
422.21346632111693,988
422.64362703556105,1015
423.07378016053093,1001
423.50392569036961,1024
423.93406361942056,1013
424.3641939420275,1017
424.79431665253458,1041
425.224431745286,1043
425.65453921462642,1015
426.08463905490095,1033
426.51473126045522,1029
426.94481582563452,1046
427.374892744785,1088
427.804962012253,1064
428.23502362238548,1047
428.6650775695291,1095
429.09512384803156,1067
429.52516245224024,1089
429.95519337650336,1080
430.38521661516893,1091
430.81523216258597,1079
431.24524001310357,1110
431.67524016107075,1089
432.10523260083755,1116
432.5352173267533,1111
432.96519433316934,1112
433.39516361443549,1137
433.82512516490334,1126
434.25507897892385,1115
434.68502505084922,1163
435.11496337503104,1133
435.54489394582174,1153
435.9748167575741,1145
436.404731804641,1129
436.83463908137617,1203
437.26453858213318,1147
437.69443030126587,1153
438.1243142331291,1162
438.55419037207707,1195
438.98405871246513,1164
439.41391924864888,1200
439.84377197498355,1217
440.2736168858259,1217
440.70345397553189,1224
441.13328323845849,1207
441.56310466896275,1223
441.99291826140222,1226
442.42272401013474,1249
442.85252190951849,1258
443.28231195391163,1248
443.7120941376736,1273
444.14186845516292,1240
444.5716349007397,1259
445.00139346876358,1262
445.43114415359446,1309
445.86088694959358,1308
446.29062185112127,1305
446.72034885253919,1323
447.1500679482088,1323
447.57977913249186,1312
448.00948239975122,1320
448.4391777443488,1302
448.8688651606484,1336
449.29854464301258,1379
449.72821618580576,1330
450.15787978339142,1369
450.58753543013421,1361
451.01718312039873,1361
451.44682284855043,1363
