Wavelength,Intensity
364.50560780846394,688
364.93673421662584,697
365.36785379614781,697
365.79896654133267,691
366.23007244648323,705
366.66117150590264,706
367.0922637138944,697
367.52334906476187,705
367.95442755281,704
368.38549917234195,707
368.81656391766307,704
369.24762178307776,717
369.67867276289127,694
370.10971685140913,696
370.54075404293695,721
370.97178433178078,707
371.4028077122465,704
371.833824178641,704
372.26483372527082,707
372.69583634644334,711
373.12683203646577,711
373.5578207896458,705
373.98880260029154,714
374.41977746271078,704
374.85074537121244,704
375.28170632010512,699
375.7126603036981,704
376.14360731630029,720
376.574547352222,705
377.00548040577246,707
377.43640647126267,707
377.86732554300244,705
378.2982376153027,715
378.72914268247496,705
379.16004073883033,712
379.59093177868039,718
380.02181579633719,707
380.45269278611295,704
380.88356274232018,705
381.31442565927176,726
381.74528153128074,715
382.17613035266072,705
382.60697211772481,717
383.03780682078792,705
383.4686344561635,715
383.89945501816663,718
384.33026850111185,713
384.76107489931468,707
385.19187420709017,705
385.62266641875436,710
386.05345152862293,714
386.48422953101283,713
386.91500042024006,704
387.34576419062176,709
387.7765208364753,697
388.20727035211814,699
388.63801273186783,711
389.06874797004275,711
389.4994760609614,712
389.93019699894217,715
390.36091077830423,712
390.79161739336718,704
391.22231683845007,720
391.65300910787278,715
392.08369419595584,704
392.51437209701982,720
392.94504280538547,706
393.37570631537369,711
393.80636262130582,705
394.23701171750372,711
394.66765359828963,707
395.09828825798547,707
395.52891569091383,699
395.95953589139793,693
396.390148853761,710
396.82075457232605,715
397.25135304141736,704
397.68194425535904,704
398.11252820847523,707
398.54310489509089,697
398.97367430953108,723
399.40423644612088,704
399.83479129918658,720
400.26533886305339,712
400.69587913204788,704
401.12641210049668,715
401.55693776272653,705
401.9874561130647,710
402.41796714583893,704
402.84847085537649,707
403.278967236006,712
403.70945628205573,715
404.1399379878543,713
404.57041234773061,709
405.00087935601448,715
405.43133900703521,710
405.86179129512294,715
406.292236214608,709
406.72267375982062,723
407.15310392509235,712
407.583526704754,707
408.01394209313708,714
408.44435008457361,709
408.87475067339568,716
409.30514385393565,720
409.73552962052668,715
410.16590796750148,713
410.59627888919374,721
411.02664237993713,720
411.45699843406584,723
411.88734704591394,723
412.3176882098162,727
412.748021920108,721
413.17834817112413,707
413.60866695720091,707
414.03897827267355,713
414.46928211187878,728
414.8995784691532,737
415.32986733883359,723
415.76014871525717,727
416.19042259276188,727
416.62068896568519,709
417.05094782836557,716
417.48119917514094,723
417.91144300035114,723
418.34167929833467,739
418.77190806343111,748
419.20212928998041,741
419.63234297232276,742
420.06254910479845,736
420.49274768174831,731
420.9229386975133,752
421.35312214643528,736
421.78329802285572,749
422.21346632111693,753
422.64362703556105,752
423.07378016053093,758
423.50392569036961,747
423.93406361942056,739
424.3641939420275,749
424.79431665253458,752
425.224431745286,759
425.65453921462642,765
426.08463905490095,769
426.51473126045522,764
426.94481582563452,763
427.374892744785,763
427.804962012253,768
428.23502362238548,761
428.6650775695291,753
429.09512384803156,768
429.52516245224024,768
429.95519337650336,768
430.38521661516893,761
430.81523216258597,779
431.24524001310357,773
431.67524016107075,768
432.10523260083755,766
432.5352173267533,768
432.96519433316934,777
433.39516361443549,777
433.82512516490334,775
434.25507897892385,778
434.68502505084922,781
435.11496337503104,768
435.54489394582174,785
435.9748167575741,784
436.404731804641,775
436.83463908137617,800
437.26453858213318,784
437.69443030126587,793
438.1243142331291,803
438.55419037207707,784
438.98405871246513,807
439.41391924864888,805
439.84377197498355,803
440.2736168858259,800
440.70345397553189,819
441.13328323845849,791
441.56310466896275,794
441.99291826140222,800
442.42272401013474,797
442.85252190951849,801
443.28231195391163,818
443.7120941376736,811
444.14186845516292,797
444.5716349007397,807
445.00139346876358,801
445.43114415359446,816
445.86088694959358,816
446.29062185112127,816
446.72034885253919,808
447.1500679482088,821
447.57977913249186,808
448.00948239975122,832
448.4391777443488,824
448.8688651606484,818
449.29854464301258,817
449.72821618580576,822
450.15787978339142,832
450.58753543013421,839
451.01718312039873,832
451.44682284855043,811
451.87645460895453,832
452.30607839597684,807
452.73569420398343,803
453.16530202734094,811
453.59490186041631,816
454.02449369757664,819
454.45407753318938,809
454.88365336162281,827
455.31322117724483,803
455.74278097442414,833
456.17233274753,832
456.60187649093132,816
457.03141219899805,816
457.46093986610026,832
457.89045948660845,809
458.31997105489319,813
458.74947456532573,811
459.17897001227726,822
459.60845739012012,816
460.03793669322613,803
460.46740791596784,827
460.89687105271838,811
461.326326097851,808
461.75577304573909,816
462.18521189075693,816
462.61464262727873,812
463.04406524967925,833
463.47347975233345,805
463.90288612961666,816
464.33228437590515,810
464.76167448557482,809
465.19105645300209,832
465.620430272564,841
466.04979593863766,825
466.47915344560073,816
466.90850278783114,817
467.33784395970741,827
467.767176955608,825
468.19650176991229,832
468.62581839699936,818
469.05512683124931,833
469.4844270670423,813
469.91371909875863,835
470.34300292077933,849
470.77227852748558,835
471.20154591325922,839
471.6308050724823,835
472.06005599953716,856
472.48929868880595,867
472.91853313467249,848
473.34775933151997,838
473.77697727373254,864
474.20618695569391,855
474.6353883717893,867
475.06458151640288,859
475.49376638392079,875
475.92294296872842,843
476.35211126521159,881
476.781271267757,841
477.21042297075138,853
477.63956636858211,848
478.06870145563676,880
478.49782822630306,864
478.92694667496943,864
479.3560567960244,848
479.78515858385737,876
480.21425203285787,880
480.64333713741507,869
481.07241389191984,885
481.50148229076245,880
481.93054232833379,859
482.35959399902532,881
482.78863729722866,883
483.21767221733592,864
483.64669875373988,871
484.0757169008329,857
484.50472665300822,880
484.93372800465988,883
485.36272095018171,864
485.79170548396763,871
486.22068160041277,866
486.64964929391209,874
487.07860855886133,865
487.50755938965625,864
487.93650178069322,880
488.36543572636856,867
488.79436122107973,888
489.22327825922355,867
489.65218683519851,859
490.08108694340228,850
490.50997857823376,872
490.93886173409174,867
491.36773640537552,856
491.79660258648488,881
492.22546027181994,875
492.65430945578117,869
493.08315013276945,866
493.51198229718619,848
493.94080594343268,871
494.36962106591119,849
494.7984276590243,855
495.22722571717435,851
495.65601523476522,857
496.08479620620005,857
496.51356862588278,846
496.94233248821814,851
497.37108778761052,848
497.79983451846533,851
498.22857267518805,834
498.65730225218437,834
499.08602324386084,841
499.5147356446243,848
499.94343944888203,851
500.37213465104077,851
500.800821245509,860
501.22949922669471,832
501.65816858900706,841
502.08682932685491,849
502.5154814346472,835
502.94412490679457,841
503.3727597377071,853
503.80138592179475,827
504.23000345346992,828
504.65861232714258,832
505.08721253722581,795
505.51580407813066,816
505.94438694427112,811
506.372961130059,800
506.80152662990866,796
507.23008343823335,801
507.65863154944748,806
508.087170957966,784
508.51570165820334,806
508.94422364457517,791
509.37273691149738,764
509.80124145338647,776
510.22973726465881,769
510.658224339731,785
511.08670267302131,780
511.51517225894713,771
511.94363309192693,775
512.372085166379,771
512.80052847672255,763
513.22896301737694,777
513.65738878276227,784
514.08580576729867,763
514.5142139654065,758
514.94261337150772,759
515.37100398002281,755
515.7993857853744,769
516.227758781984,755
516.656122964275,769
517.08447832667025,760
517.51282486359275,739
517.94116256946722,763
518.36949143871811,761
518.797811465769,741
519.22612264504619,771
519.65442497097433,752
520.08271843797991,745
520.51100304048975,759
520.9392787729297,748
521.36754562972715,759
521.79580360531,755
522.22405269410638,763
522.652292890544,753
523.08052418905254,765
523.5087465840603,758
523.93696006999824,793
524.36516464129488,793
524.79336029238209,805
525.22154701769,794
525.64972481165,823
526.07789366869372,816
526.5060535832539,835
526.93420454976217,848
527.36234656265265,873
527.79047961635774,897
528.21860370531147,908
528.64671882394839,905
529.07482496670264,941
529.50292212800991,971
529.93101030230491,956
530.35908948402437,992
530.7871596676041,979
531.215220847481,1008
531.64327301809146,999
532.07131617387427,1025
532.49935030926622,1030
532.92737541870679,1034
533.355391496634,1010
533.783398537488,1013
534.21139653570742,1052
534.63938548573253,1017
535.06736538200471,1031
535.49533621896387,1051
535.9232979910521,1067
536.35125069271055,1090
536.77919431838177,1031
537.207128862509,1080
537.63505431953388,1068
538.06297068390074,1085
538.49087795005357,1051
538.91877611243649,1056
539.34666516549385,1083
539.77454510367193,1063
540.202415921415,1072
540.63027761316982,1048
541.05813017338323,1089
541.48597359650114,1046
