Wavelength,Intensity
363.33900503383586,808
363.77014043712558,824
364.20126901433019,825
364.6323907597523,808
365.06350566769504,835
365.49461373246106,819
365.9257149483538,825
366.35680930967658,832
366.78789681073408,835
367.21897744582975,835
367.65005120926827,832
368.08111809535438,839
368.51217809839284,848
368.94323121268928,837
369.37427743254909,849
369.80531675227803,864
370.23634916618238,848
370.66737466856847,867
371.09839325374281,853
371.52940491601265,824
371.96040964968535,864
372.39140744906791,850
372.82239830846868,838
373.25338222219546,857
373.68435918455663,851
374.1153291898612,864
374.54629223241778,856
374.97724830653556,841
375.40819740652449,864
375.83913952669377,864
376.27007466135416,869
376.70100280481586,864
377.13192395138896,890
377.56283809538513,867
377.9937452311155,853
378.42464535289133,897
378.85553845502443,865
379.28642453182744,868
379.71730357761231,869
380.14817558669165,877
380.57904055337877,866
381.00989847198696,872
381.44074933682919,849
381.87159314222026,883
382.3024298824738,887
382.73325955190415,881
383.16408214482624,887
383.59489765555514,864
384.025706078406,880
384.45650740769446,899
384.88730163773653,869
385.31808876284862,871
385.74886877734679,880
386.17964167554811,864
386.61040745176956,880
387.0411661003285,888
387.47191761554279,880
387.90266199173033,885
388.33339922320948,885
388.76412930429854,887
389.19485222931667,885
389.62556799258289,872
390.05627658841695,883
390.48697801113809,885
390.91767225506652,873
391.34835931452324,899
391.7790391838281,904
392.20971185730258,899
392.64037732926789,873
393.07103559404516,901
393.50168664595697,886
393.932330479325,891
394.36296708847169,887
394.79359646772019,881
395.22421861139338,904
395.65483351381459,878
396.08544116930733,877
396.51604157219634,923
396.94663471680514,899
397.37722059745852,881
397.80779920848147,893
398.23837054419943,896
398.66893459893771,905
399.0994913670221,897
399.53004084277876,886
399.96058302053405,921
400.391117894615,899
400.8216454593483,891
401.25216570906156,896
401.68267863808245,912
402.11318424073903,897
402.54368251135952,912
402.97417344427231,913
403.40465703380642,901
403.83513327429125,906
404.26560216005623,925
404.69606368543094,912
405.12651784474627,921
405.55696463233187,915
405.98740404251913,929
406.41783606963878,915
406.84826070802222,920
407.2786779520016,923
407.70908779590832,939
408.13949023407514,913
408.56988526083495,912
409.00027287052018,920
409.43065305746433,935
409.8610258160013,931
410.2913911404645,929
410.72174902518873,939
411.15209946450813,935
411.58244245275773,936
412.0127779842727,938
412.44310605338882,944
412.87342665444152,944
413.30373978176704,936
413.73404542970212,958
414.16434359258329,945
414.59463426474775,952
415.02491744053293,955
415.45519311427677,951
415.88546128031686,964
416.31572193299178,954
416.74597506664065,929
417.17622067560211,942
417.60645875421557,953
418.0366892968209,935
418.46691229775786,957
418.897127751367,960
419.3273356519889,978
419.75753599396427,999
420.18772877163474,914
420.617913979342,968
421.04809161142788,975
421.47826166223462,960
421.90842412610471,987
422.33857899738126,970
422.76872627040757,976
423.19886593952714,971
423.62899799908394,966
424.05912244342204,976
424.48923926688644,962
424.91934846382139,994
425.34945002857279,987
425.77954395548568,976
426.20963023890624,976
426.63970887318067,1017
427.06977985265536,983
427.49984317167741,976
427.92989882459386,994
428.35994680575237,1016
428.78998710950083,995
429.22001973018729,1003
429.65004466216038,1015
430.08006189976913,1003
430.51007143736223,1003
430.94007326929011,1033
431.37006738990181,1009
431.8000537935481,1008
432.2300324745791,1016
432.66000342734594,992
433.0899666461998,1014
433.51992212549243,960
433.94986985957547,1024
434.37980984280131,1043
434.8097420695222,1009
435.23966653409133,1043
435.6695832308618,1077
436.09949215418737,1048
436.52939329842195,1050
436.95928665791973,1024
437.38917222703515,1017
437.81905000012335,1047
438.24891997153969,1040
438.67878213563938,1040
439.10863648677895,1049
439.53848301931424,1078
439.96832172760219,1059
440.39815260599971,1072
440.82797564886386,1045
441.25779085055274,1073
441.68759820542414,1074
442.11739770783635,1035
442.54718935214839,1040
442.97697313271897,1063
443.40674904390772,1062
443.8365170800742,1060
444.2662772355784,1094
444.69602950478105,1081
445.12577388204267,1063
445.55551036172483,1075
445.98523893818856,1078
446.41495960579556,1088
446.8446723589085,1075
447.2743771918893,1083
447.70407409910155,1131
448.13376307490773,1120
448.56344411367195,1107
448.993117209758,1096
449.42278235752957,1099
449.852439551352,1104
450.28208878559,1111
450.71173005460895,1120
451.14136335277425,1107
451.57098867445217,1118
452.000606014009,1104
452.43021536581165,1109
452.85981672422668,1123
453.28941008362216,1136
453.71899543836543,1123
454.14857278282466,1145
454.57814211136855,1136
455.00770341836585,1169
455.43725669818554,1181
455.86680194519744,1104
456.2963391537715,1147
456.72586831827772,1187
457.15538943308695,1153
457.58490249257011,1168
458.01440749109838,1179
458.44390442304376,1184
458.87339328277824,1178
459.30287406467374,1159
459.73234676310375,1193
460.161811372441,1209
460.59126788705885,1203
461.02071630133139,1203
461.450156609633,1203
461.87958880633784,1212
462.30901288582112,1217
462.738428842458,1216
463.16783667062418,1227
463.59723636469585,1206
464.02662791904896,1229
464.4560113280607,1239
464.88538658610787,1209
465.31475368756793,1212
465.744112626819,1248
466.173463398239,1257
466.60280599620648,1212
467.03214041510068,1229
467.4614666493008,1241
467.89078469318628,1237
468.32009454113722,1296
468.74939618753388,1267
469.17868962675732,1293
469.60797485318858,1296
470.037251861209,1275
470.4665206452006,1281
470.8957811995457,1318
471.32503351862647,1267
471.75427759682628,1318
472.18351342852833,1307
472.61274100811642,1286
473.04196032997442,1272
473.47117138848688,1347
473.90037417803865,1344
474.32956869301495,1334
474.75875492780136,1333
475.18793287678369,1328
475.61710253434831,1331
476.04626389488169,1325
476.4754169527713,1360
476.90456170240429,1363
477.33369813816836,1400
477.762826254452,1333
478.19194604564353,1427
478.62105750613193,1360
479.05016063030661,1400
479.47925541255694,1363
479.90834184727328,1395
480.33741992884592,1440
480.76648965166578,1408
481.19555101012384,1440
481.62460399861163,1414
482.05364861152123,1435
482.48268484324512,1440
482.91171268817584,1424
483.34073214070611,1429
483.76974319523003,1451
484.19874584614092,1477
484.62774008783316,1483
485.05672591470153,1531
485.48570332114053,1509
485.91467230154603,1494
486.3436328503135,1475
486.77258496183913,1513
487.20152863051925,1525
487.63046385075097,1527
488.05939061693135,1493
488.48830892345819,1562
488.91721876472951,1587
489.34612013514385,1560
489.77501302909974,1539
490.20389744099634,1563
490.63277336523345,1561
491.06164079621095,1601
491.4904997283291,1577
491.91935015598875,1627
492.34819207359118,1665
492.77702547553741,1603
493.2058503562294,1633
493.63466671006995,1659
494.06347453146117,1701
494.49227381480648,1661
494.9210645545092,1639
495.349846744973,1701
495.77862038060255,1680
496.20738545580173,1708
496.63614196497622,1680
497.06488990253115,1707
497.493629262872,1747
497.92236004040558,1715
498.35108222953806,1760
498.77979582467668,1751
499.20850082022832,1777
499.63719721060085,1755
500.06588499020251,1798
500.49456415344218,1760
500.92323469472848,1783
501.35189660847033,1833
501.7805498890782,1792
502.20919453096184,1827
502.6378305285312,1889
503.06645787619846,1861
503.49507656837363,1832
503.92368659946936,1883
504.3522879638968,1913
504.78088065606943,1961
505.20946467039937,1873
505.63804000130057,1959
506.06660664318593,1904
506.4951645904701,1989
506.92371383756768,1998
507.35225437889295,1992
507.78078620886146,2016
508.2093093218889,2035
508.63782371239159,2027
509.06632937478588,2015
509.4948263034882,2083
509.92331449291646,2059
510.351793937488,2054
510.78026463162121,2099
511.20872656973427,2104
511.63717974624603,2141
512.065624155576,2123
512.49405979214362,2184
512.92248665036925,2161
513.35090472467323,2169
513.77931400947693,2179
514.20771449920119,2235
514.6361061882676,2288
515.06448907109836,2307
515.492863142117,2293
515.92122839574517,2249
516.34958482640627,2293
516.77793242852488,2296
517.206271196525,2353
517.63460112483051,2358
518.062922207867,2419
518.49123444005943,2389
518.919537815834,2427
519.34783232961706,2423
519.776117975835,2451
520.20439474891475,2496
520.63266264328331,2520
521.06092165336975,2497
521.48917177360113,2561
521.91741299840692,2551
522.34564532221532,2589
522.77386873945716,2611
523.20208324456087,2677
523.63028883195773,2608
524.05848549607833,2649
524.486673231354,2691
524.91485203221555,2643
525.34302189309551,2737
525.77118280842626,2755
526.1993347726409,2774
526.627477780172,2784
527.0556118254533,2883
527.48373690291953,2816
527.91185300700454,2825
528.33996013214335,2866
528.76805827277133,2875
529.19614742332419,2937
529.62422757823811,2917
530.05229873194969,2976
530.48036087889557,2982
530.90841401351383,3004
531.33645813024157,3015
531.76449322351732,3136
532.1925192877801,3139
532.62053631746858,3125
533.0485443070221,3184
533.47654325088115,3165
533.90453314348554,3139
534.3325139792762,3216
534.76048575269476,3240
535.18844845818228,3335
535.616402090181,3362
536.04434664313339,3267
536.4722821114824,3320
536.90020848967129,3393
537.32812577214338,3408
537.75603395334349,3456
538.18393302771574,3499
538.61182298970562,3522
539.03970383375838,3589
539.46757555431918,3529
539.89543814583578,3600
540.32329160275344,3617
540.75113591952015,3670
541.1789710905831,3640
541.60679711039029,3696
542.03461397339038,3783
542.46242167403261,3784
542.89022020676543,3810
543.31800956603877,3885
543.7457897463031,3824
544.17356074200882,3904
544.60132254760686,3984
545.029075157549,3969
545.45681856628676,3993
545.88455276827244,4034
546.31227775795912,4078
546.73999352979934,4091
547.16770007824755,4144
547.59539739775732,4131
548.02308548278313,4200
548.45076432777955,4217
548.87843392720276,4205
549.30609427550758,4273
549.733745367151,4305
550.16138719658943,4380
550.58901975827973,4416
551.01664304667941,4451
551.4442570562469,4491
551.87186178143963,4418
552.29945721671766,4425
552.72704335653941,4529
553.15462019536483,4576
553.58218772765372,4656
554.00974594786737,4603
554.43729485046651,4640
554.86483442991232,4664
555.292364680667,4784
555.71988559719239,4720
556.14739717395173,4754
556.57489940540836,4835
557.00239228602572,4856
557.42987581026773,4840
557.8573499725992,5051
558.284814767485,4934
558.71227018939067,5101
559.13971623278235,5033
559.56715289212536,5136
559.99458016188737,5128
560.42199803653546,5241
560.849406510537,5181
561.2768055783605,5256
561.70419523447367,5285
562.13157547334617,5304
562.55894628944725,5304
562.98630767724717,5408
563.41365963121564,5409
563.84100214582361,5330
564.26833521554272,5536
564.695658834844,5441
565.12297299819988,5571
565.5502777000828,5606
565.97757293496591,5616
566.40485869732254,5639
566.83213498162672,5704
567.25940178235328,5684
567.68665909397555,5675
568.11390691097051,5761
568.54114522781254,5845
568.96837403897837,5858
569.39559333894465,5912
569.82280312218859,5803
570.25000338318739,6005
570.67719411641872,5952
571.10437531636217,6073
571.53154697749471,6067
571.95870909429755,6097
572.38586166124946,6160
572.81300467283086,6176
573.24013812352268,6069
573.66726200780579,6182
574.09437632016159,6288
574.52148105507285,6176
574.94857620702169,6353
575.37566177049052,6384
575.80273773996328,6299
576.22980410992454,6412
