Wavelength,Intensity
363.33900503383586,678
363.77014043712558,675
364.20126901433019,670
364.6323907597523,674
365.06350566769504,691
365.49461373246106,683
365.9257149483538,683
366.35680930967658,683
366.78789681073408,700
367.21897744582975,690
367.65005120926827,699
368.08111809535438,695
368.51217809839284,693
368.94323121268928,691
369.37427743254909,689
369.80531675227803,694
370.23634916618238,699
370.66737466856847,704
371.09839325374281,704
371.52940491601265,689
371.96040964968535,699
372.39140744906791,696
372.82239830846868,683
373.25338222219546,683
373.68435918455663,688
374.1153291898612,705
374.54629223241778,698
374.97724830653556,705
375.40819740652449,697
375.83913952669377,702
376.27007466135416,699
376.70100280481586,685
377.13192395138896,699
377.56283809538513,705
377.9937452311155,697
378.42464535289133,697
378.85553845502443,697
379.28642453182744,696
379.71730357761231,704
380.14817558669165,693
380.57904055337877,696
381.00989847198696,704
381.44074933682919,691
381.87159314222026,704
382.3024298824738,704
382.73325955190415,681
383.16408214482624,700
383.59489765555514,688
384.025706078406,696
384.45650740769446,704
384.88730163773653,695
385.31808876284862,695
385.74886877734679,704
386.17964167554811,707
386.61040745176956,692
387.0411661003285,694
387.47191761554279,707
387.90266199173033,705
388.33339922320948,698
388.76412930429854,704
389.19485222931667,705
389.62556799258289,701
390.05627658841695,704
390.48697801113809,697
390.91767225506652,691
391.34835931452324,705
391.7790391838281,696
392.20971185730258,681
392.64037732926789,704
393.07103559404516,697
393.50168664595697,694
393.932330479325,686
394.36296708847169,699
394.79359646772019,696
395.22421861139338,688
395.65483351381459,695
396.08544116930733,688
396.51604157219634,696
396.94663471680514,696
397.37722059745852,697
397.80779920848147,697
398.23837054419943,696
398.66893459893771,699
399.0994913670221,694
399.53004084277876,682
399.96058302053405,705
400.391117894615,694
400.8216454593483,691
401.25216570906156,691
401.68267863808245,709
402.11318424073903,696
402.54368251135952,696
402.97417344427231,704
403.40465703380642,683
403.83513327429125,698
404.26560216005623,698
404.69606368543094,704
405.12651784474627,699
405.55696463233187,693
405.98740404251913,697
406.41783606963878,694
406.84826070802222,696
407.2786779520016,697
407.70908779590832,710
408.13949023407514,691
408.56988526083495,681
409.00027287052018,701
409.43065305746433,697
409.8610258160013,690
410.2913911404645,693
410.72174902518873,689
411.15209946450813,699
411.58244245275773,690
412.0127779842727,681
412.44310605338882,698
412.87342665444152,696
413.30373978176704,695
413.73404542970212,704
414.16434359258329,699
414.59463426474775,691
415.02491744053293,704
415.45519311427677,688
415.88546128031686,704
416.31572193299178,704
416.74597506664065,696
417.17622067560211,697
417.60645875421557,696
418.0366892968209,697
418.46691229775786,699
418.897127751367,691
419.3273356519889,699
419.75753599396427,709
420.18772877163474,691
420.617913979342,691
421.04809161142788,700
421.47826166223462,699
421.90842412610471,701
422.33857899738126,704
422.76872627040757,697
423.19886593952714,697
423.62899799908394,699
424.05912244342204,681
424.48923926688644,691
424.91934846382139,700
425.34945002857279,701
425.77954395548568,704
426.20963023890624,699
426.63970887318067,691
427.06977985265536,695
427.49984317167741,691
427.92989882459386,694
428.35994680575237,707
428.78998710950083,696
429.22001973018729,701
429.65004466216038,694
430.08006189976913,696
430.51007143736223,699
430.94007326929011,705
431.37006738990181,693
431.8000537935481,704
432.2300324745791,697
432.66000342734594,688
433.0899666461998,704
433.51992212549243,700
433.94986985957547,699
434.37980984280131,709
434.8097420695222,688
435.23966653409133,704
435.6695832308618,705
436.09949215418737,688
436.52939329842195,690
436.95928665791973,704
437.38917222703515,704
437.81905000012335,695
438.24891997153969,691
438.67878213563938,693
439.10863648677895,713
439.53848301931424,704
439.96832172760219,695
440.39815260599971,700
440.82797564886386,695
441.25779085055274,704
441.68759820542414,708
442.11739770783635,695
442.54718935214839,699
442.97697313271897,707
443.40674904390772,691
443.8365170800742,695
444.2662772355784,711
444.69602950478105,697
445.12577388204267,697
445.55551036172483,705
445.98523893818856,688
446.41495960579556,705
446.8446723589085,699
447.2743771918893,683
447.70407409910155,707
448.13376307490773,697
448.56344411367195,691
448.993117209758,701
449.42278235752957,706
449.852439551352,689
450.28208878559,704
450.71173005460895,683
451.14136335277425,694
451.57098867445217,704
452.000606014009,697
452.43021536581165,699
452.85981672422668,694
453.28941008362216,691
453.71899543836543,693
454.14857278282466,699
454.57814211136855,705
455.00770341836585,707
455.43725669818554,697
455.86680194519744,707
