Wavelength,Intensity
363.33900503383586,662
363.77014043712558,664
364.20126901433019,675
364.6323907597523,673
365.06350566769504,675
365.49461373246106,667
365.9257149483538,656
366.35680930967658,689
366.78789681073408,667
367.21897744582975,681
367.65005120926827,680
368.08111809535438,683
368.51217809839284,672
368.94323121268928,680
369.37427743254909,667
369.80531675227803,688
370.23634916618238,691
370.66737466856847,679
371.09839325374281,668
371.52940491601265,673
371.96040964968535,667
372.39140744906791,681
372.82239830846868,681
373.25338222219546,667
373.68435918455663,672
374.1153291898612,688
374.54629223241778,670
374.97724830653556,673
375.40819740652449,688
375.83913952669377,675
376.27007466135416,680
376.70100280481586,667
377.13192395138896,685
377.56283809538513,680
377.9937452311155,674
378.42464535289133,681
378.85553845502443,685
379.28642453182744,691
379.71730357761231,683
380.14817558669165,681
380.57904055337877,675
381.00989847198696,683
381.44074933682919,679
381.87159314222026,677
382.3024298824738,677
382.73325955190415,675
383.16408214482624,681
383.59489765555514,672
384.025706078406,680
384.45650740769446,683
384.88730163773653,683
385.31808876284862,682
385.74886877734679,672
386.17964167554811,688
386.61040745176956,675
387.0411661003285,688
387.47191761554279,683
387.90266199173033,689
388.33339922320948,683
388.76412930429854,679
389.19485222931667,688
389.62556799258289,688
390.05627658841695,688
390.48697801113809,689
390.91767225506652,693
391.34835931452324,683
391.7790391838281,673
392.20971185730258,693
392.64037732926789,680
393.07103559404516,685
393.50168664595697,690
393.932330479325,688
394.36296708847169,689
394.79359646772019,696
395.22421861139338,681
395.65483351381459,695
396.08544116930733,683
396.51604157219634,685
396.94663471680514,688
397.37722059745852,688
397.80779920848147,697
398.23837054419943,689
398.66893459893771,688
399.0994913670221,689
399.53004084277876,693
399.96058302053405,688
400.391117894615,689
400.8216454593483,699
401.25216570906156,693
401.68267863808245,688
402.11318424073903,688
402.54368251135952,679
402.97417344427231,689
403.40465703380642,696
403.83513327429125,677
404.26560216005623,701
404.69606368543094,690
405.12651784474627,686
405.55696463233187,693
405.98740404251913,689
406.41783606963878,695
406.84826070802222,699
407.2786779520016,689
407.70908779590832,697
408.13949023407514,688
408.56988526083495,689
409.00027287052018,711
409.43065305746433,689
409.8610258160013,688
410.2913911404645,689
410.72174902518873,699
411.15209946450813,705
411.58244245275773,691
412.0127779842727,691
412.44310605338882,705
412.87342665444152,699
413.30373978176704,695
413.73404542970212,704
414.16434359258329,694
414.59463426474775,698
415.02491744053293,704
415.45519311427677,699
415.88546128031686,704
416.31572193299178,711
416.74597506664065,695
417.17622067560211,704
417.60645875421557,691
418.0366892968209,691
418.46691229775786,712
418.897127751367,714
419.3273356519889,688
419.75753599396427,704
420.18772877163474,704
420.617913979342,704
421.04809161142788,709
421.47826166223462,704
421.90842412610471,697
422.33857899738126,697
422.76872627040757,696
423.19886593952714,702
423.62899799908394,707
424.05912244342204,699
424.48923926688644,717
424.91934846382139,705
425.34945002857279,705
425.77954395548568,707
426.20963023890624,696
426.63970887318067,712
427.06977985265536,720
427.49984317167741,720
427.92989882459386,711
428.35994680575237,729
428.78998710950083,713
429.22001973018729,720
429.65004466216038,729
430.08006189976913,709
430.51007143736223,706
430.94007326929011,727
431.37006738990181,705
431.8000537935481,725
432.2300324745791,726
432.66000342734594,715
433.0899666461998,728
433.51992212549243,721
433.94986985957547,713
434.37980984280131,723
434.8097420695222,715
435.23966653409133,698
435.6695832308618,729
436.09949215418737,720
436.52939329842195,729
436.95928665791973,738
437.38917222703515,723
437.81905000012335,736
438.24891997153969,729
438.67878213563938,702
439.10863648677895,737
439.53848301931424,720
439.96832172760219,720
440.39815260599971,729
440.82797564886386,736
441.25779085055274,720
441.68759820542414,749
442.11739770783635,739
442.54718935214839,723
442.97697313271897,731
443.40674904390772,723
443.8365170800742,739
444.2662772355784,728
444.69602950478105,723
445.12577388204267,736
445.55551036172483,732
445.98523893818856,729
446.41495960579556,715
446.8446723589085,728
447.2743771918893,743
447.70407409910155,736
448.13376307490773,736
448.56344411367195,736
448.993117209758,729
449.42278235752957,723
449.852439551352,728
450.28208878559,713
450.71173005460895,710
451.14136335277425,739
451.57098867445217,725
452.000606014009,723
452.43021536581165,725
452.85981672422668,714
453.28941008362216,737
453.71899543836543,736
454.14857278282466,736
454.57814211136855,720
455.00770341836585,721
455.43725669818554,712
455.86680194519744,720
456.2963391537715,720
456.72586831827772,720
457.15538943308695,728
457.58490249257011,745
458.01440749109838,723
458.44390442304376,720
458.87339328277824,712
459.30287406467374,726
459.73234676310375,704
460.161811372441,726
460.59126788705885,715
461.02071630133139,723
461.450156609633,704
461.87958880633784,721
462.30901288582112,713
462.738428842458,715
463.16783667062418,722
463.59723636469585,720
464.02662791904896,704
464.4560113280607,715
464.88538658610787,720
465.31475368756793,723
465.744112626819,721
466.173463398239,731
466.60280599620648,720
467.03214041510068,716
467.4614666493008,713
467.89078469318628,723
468.32009454113722,713
468.74939618753388,716
469.17868962675732,717
469.60797485318858,714
470.037251861209,728
470.4665206452006,707
470.8957811995457,711
471.32503351862647,721
471.75427759682628,720
472.18351342852833,723
472.61274100811642,712
473.04196032997442,707
473.47117138848688,704
473.90037417803865,729
474.32956869301495,705
474.75875492780136,720
475.18793287678369,720
475.61710253434831,697
476.04626389488169,704
476.4754169527713,712
476.90456170240429,707
477.33369813816836,713
477.762826254452,707
478.19194604564353,720
478.62105750613193,713
479.05016063030661,731
479.47925541255694,715
479.90834184727328,704
480.33741992884592,707
480.76648965166578,720
481.19555101012384,720
481.62460399861163,731
482.05364861152123,728
482.48268484324512,720
482.91171268817584,720
483.34073214070611,712
483.76974319523003,721
