Wavelength,Intensity
363.33900503383586,665
363.77014043712558,665
364.20126901433019,672
364.6323907597523,675
365.06350566769504,677
365.49461373246106,680
365.9257149483538,656
366.35680930967658,680
366.78789681073408,680
367.21897744582975,666
367.65005120926827,685
368.08111809535438,688
368.51217809839284,681
368.94323121268928,675
369.37427743254909,681
369.80531675227803,688
370.23634916618238,694
370.66737466856847,681
371.09839325374281,672
371.52940491601265,675
371.96040964968535,688
372.39140744906791,688
372.82239830846868,688
373.25338222219546,667
373.68435918455663,690
374.1153291898612,679
374.54629223241778,681
374.97724830653556,680
375.40819740652449,692
375.83913952669377,673
376.27007466135416,688
376.70100280481586,672
377.13192395138896,683
377.56283809538513,679
377.9937452311155,669
378.42464535289133,685
378.85553845502443,681
379.28642453182744,680
379.71730357761231,689
380.14817558669165,688
380.57904055337877,693
381.00989847198696,686
381.44074933682919,686
381.87159314222026,675
382.3024298824738,691
382.73325955190415,694
383.16408214482624,688
383.59489765555514,680
384.025706078406,693
384.45650740769446,683
384.88730163773653,683
385.31808876284862,696
385.74886877734679,688
386.17964167554811,691
386.61040745176956,696
387.0411661003285,672
387.47191761554279,688
387.90266199173033,681
388.33339922320948,704
388.76412930429854,681
389.19485222931667,689
389.62556799258289,701
390.05627658841695,683
390.48697801113809,696
390.91767225506652,691
391.34835931452324,691
391.7790391838281,691
392.20971185730258,712
392.64037732926789,704
393.07103559404516,691
393.50168664595697,710
393.932330479325,696
394.36296708847169,704
394.79359646772019,697
395.22421861139338,693
395.65483351381459,707
396.08544116930733,691
396.51604157219634,699
396.94663471680514,689
397.37722059745852,715
397.80779920848147,697
398.23837054419943,704
398.66893459893771,691
399.0994913670221,696
399.53004084277876,728
399.96058302053405,688
400.391117894615,699
400.8216454593483,704
401.25216570906156,713
401.68267863808245,713
402.11318424073903,709
402.54368251135952,697
402.97417344427231,721
403.40465703380642,715
403.83513327429125,707
404.26560216005623,721
404.69606368543094,705
405.12651784474627,709
405.55696463233187,722
405.98740404251913,705
406.41783606963878,712
406.84826070802222,717
407.2786779520016,723
407.70908779590832,704
408.13949023407514,725
408.56988526083495,704
409.00027287052018,725
409.43065305746433,710
409.8610258160013,736
410.2913911404645,736
410.72174902518873,723
411.15209946450813,729
411.58244245275773,725
412.0127779842727,722
412.44310605338882,742
412.87342665444152,741
413.30373978176704,715
413.73404542970212,728
414.16434359258329,753
414.59463426474775,736
415.02491744053293,739
415.45519311427677,744
415.88546128031686,738
416.31572193299178,753
416.74597506664065,736
417.17622067560211,747
417.60645875421557,739
418.0366892968209,753
418.46691229775786,737
418.897127751367,755
419.3273356519889,751
419.75753599396427,742
420.18772877163474,756
420.617913979342,758
421.04809161142788,752
421.47826166223462,781
421.90842412610471,757
422.33857899738126,787
422.76872627040757,760
423.19886593952714,761
423.62899799908394,778
424.05912244342204,757
424.48923926688644,776
424.91934846382139,785
425.34945002857279,771
425.77954395548568,791
426.20963023890624,785
426.63970887318067,785
427.06977985265536,803
427.49984317167741,795
427.92989882459386,808
428.35994680575237,801
428.78998710950083,806
429.22001973018729,800
429.65004466216038,791
430.08006189976913,803
430.51007143736223,819
430.94007326929011,816
431.37006738990181,811
431.8000537935481,801
432.2300324745791,850
432.66000342734594,846
433.0899666461998,829
433.51992212549243,839
433.94986985957547,832
434.37980984280131,864
434.8097420695222,848
435.23966653409133,827
435.6695832308618,843
436.09949215418737,835
436.52939329842195,856
436.95928665791973,850
437.38917222703515,824
437.81905000012335,852
438.24891997153969,842
438.67878213563938,841
439.10863648677895,858
439.53848301931424,822
439.96832172760219,829
440.39815260599971,840
440.82797564886386,824
441.25779085055274,848
441.68759820542414,843
442.11739770783635,832
442.54718935214839,840
442.97697313271897,835
443.40674904390772,825
443.8365170800742,856
444.2662772355784,857
444.69602950478105,835
445.12577388204267,848
445.55551036172483,844
445.98523893818856,849
446.41495960579556,843
446.8446723589085,872
447.2743771918893,872
447.70407409910155,861
448.13376307490773,867
448.56344411367195,866
448.993117209758,867
449.42278235752957,859
449.852439551352,899
450.28208878559,877
450.71173005460895,857
451.14136335277425,912
451.57098867445217,889
452.000606014009,899
452.43021536581165,920
452.85981672422668,891
453.28941008362216,896
453.71899543836543,908
454.14857278282466,875
454.57814211136855,903
455.00770341836585,918
455.43725669818554,881
455.86680194519744,929
456.2963391537715,912
456.72586831827772,899
457.15538943308695,901
