Wavelength,Intensity
363.33900503383586,665
363.77014043712558,665
364.20126901433019,659
364.6323907597523,675
365.06350566769504,667
365.49461373246106,674
365.9257149483538,678
366.35680930967658,677
366.78789681073408,688
367.21897744582975,672
367.65005120926827,672
368.08111809535438,688
368.51217809839284,681
368.94323121268928,688
369.37427743254909,683
369.80531675227803,677
370.23634916618238,679
370.66737466856847,675
371.09839325374281,683
371.52940491601265,673
371.96040964968535,680
372.39140744906791,688
372.82239830846868,683
373.25338222219546,680
373.68435918455663,681
374.1153291898612,683
374.54629223241778,683
374.97724830653556,680
375.40819740652449,675
375.83913952669377,693
376.27007466135416,680
376.70100280481586,677
377.13192395138896,672
377.56283809538513,667
377.9937452311155,685
378.42464535289133,688
378.85553845502443,667
379.28642453182744,691
379.71730357761231,696
380.14817558669165,672
380.57904055337877,677
381.00989847198696,683
381.44074933682919,689
381.87159314222026,688
382.3024298824738,678
382.73325955190415,681
383.16408214482624,683
383.59489765555514,683
384.025706078406,688
384.45650740769446,681
384.88730163773653,680
385.31808876284862,689
385.74886877734679,689
386.17964167554811,667
386.61040745176956,688
387.0411661003285,688
387.47191761554279,682
387.90266199173033,691
388.33339922320948,688
388.76412930429854,696
389.19485222931667,705
389.62556799258289,689
390.05627658841695,697
390.48697801113809,707
390.91767225506652,688
391.34835931452324,704
391.7790391838281,690
392.20971185730258,691
392.64037732926789,701
393.07103559404516,696
393.50168664595697,697
393.932330479325,704
394.36296708847169,697
394.79359646772019,704
395.22421861139338,720
395.65483351381459,697
396.08544116930733,699
396.51604157219634,721
396.94663471680514,704
397.37722059745852,717
397.80779920848147,718
398.23837054419943,705
398.66893459893771,731
399.0994913670221,717
399.53004084277876,704
399.96058302053405,724
400.391117894615,712
400.8216454593483,713
401.25216570906156,726
401.68267863808245,720
402.11318424073903,723
402.54368251135952,731
402.97417344427231,723
403.40465703380642,731
403.83513327429125,721
404.26560216005623,728
404.69606368543094,729
405.12651784474627,726
405.55696463233187,739
405.98740404251913,741
406.41783606963878,731
406.84826070802222,737
407.2786779520016,748
407.70908779590832,728
408.13949023407514,755
408.56988526083495,736
409.00027287052018,750
409.43065305746433,737
409.8610258160013,731
410.2913911404645,742
410.72174902518873,759
411.15209946450813,747
411.58244245275773,739
412.0127779842727,755
412.44310605338882,753
412.87342665444152,752
413.30373978176704,768
413.73404542970212,753
414.16434359258329,768
414.59463426474775,768
415.02491744053293,761
415.45519311427677,768
415.88546128031686,760
416.31572193299178,752
416.74597506664065,780
417.17622067560211,770
417.60645875421557,768
418.0366892968209,785
418.46691229775786,777
418.897127751367,787
419.3273356519889,771
419.75753599396427,771
420.18772877163474,779
420.617913979342,784
421.04809161142788,765
421.47826166223462,808
421.90842412610471,800
422.33857899738126,808
422.76872627040757,824
423.19886593952714,828
423.62899799908394,784
424.05912244342204,805
424.48923926688644,827
424.91934846382139,840
425.34945002857279,803
425.77954395548568,825
426.20963023890624,851
426.63970887318067,816
427.06977985265536,816
427.49984317167741,835
427.92989882459386,842
428.35994680575237,858
428.78998710950083,862
429.22001973018729,864
429.65004466216038,855
430.08006189976913,841
430.51007143736223,849
430.94007326929011,864
431.37006738990181,856
431.8000537935481,859
432.2300324745791,880
432.66000342734594,857
433.0899666461998,857
433.51992212549243,841
433.94986985957547,846
434.37980984280131,896
434.8097420695222,871
435.23966653409133,864
435.6695832308618,885
436.09949215418737,860
436.52939329842195,859
436.95928665791973,867
437.38917222703515,845
437.81905000012335,832
438.24891997153969,851
438.67878213563938,875
439.10863648677895,864
439.53848301931424,869
439.96832172760219,883
440.39815260599971,871
440.82797564886386,883
441.25779085055274,882
441.68759820542414,864
442.11739770783635,867
442.54718935214839,876
442.97697313271897,883
443.40674904390772,873
443.8365170800742,896
444.2662772355784,899
444.69602950478105,903
445.12577388204267,878
445.55551036172483,905
445.98523893818856,876
446.41495960579556,876
446.8446723589085,896
447.2743771918893,899
447.70407409910155,867
448.13376307490773,883
448.56344411367195,888
448.993117209758,880
449.42278235752957,883
449.852439551352,871
450.28208878559,867
450.71173005460895,903
451.14136335277425,889
451.57098867445217,859
452.000606014009,870
452.43021536581165,883
452.85981672422668,898
453.28941008362216,871
453.71899543836543,864
454.14857278282466,869
454.57814211136855,875
455.00770341836585,880
455.43725669818554,857
455.86680194519744,875
456.2963391537715,864
456.72586831827772,886
457.15538943308695,873
